drugName,condition,rating,usefulCount
valsartan,left ventricular dysfunction,9,27
levonorgestrel,emergency contraception,1,5
aripiprazole,bipolar disorde,10,32
topiramate,migraine prevention,9,19
dextromethorphan,cough,4,1
liraglutide,obesity,9,20
trimethoprim,urinary tract infection,9,0
amitriptyline,ibromyalgia,9,39
lamotrigine,bipolar disorde,10,18
nilotinib,chronic myelogenous leukemia,10,11
etanercept,rheumatoid arthritis,10,4
tioconazole,vaginal yeast infection,1,7
azithromycin,chlamydia infection,7,7
eflornithine,hirsutism,10,99
azithromycin,nan,10,1
sertraline,depression,8,3
tioconazole,vaginal yeast infection,1,2
morphine,pain,8,19
fluconazole,vaginal yeast infection,8,9
clonazepam,panic disorde,9,30
venlafaxine,depression,4,3
tamsulosin,overactive bladde,4,10
doxycycline,urinary tract infection,7,44
dulaglutide,"diabetes, type 2",10,24
aripiprazole,schizophrenia,10,26
bupropion,smoking cessation,10,15
tretinoin,acne,10,13
clomiphene,emale infertility,10,74
sildenafil,erectile dysfunction,10,14
sertraline,panic disorde,10,28
oxcarbazepine,trigeminal neuralgia,7,15
levonorgestrel,birth control,1,10
lithium,bipolar disorde,10,27
estradiol,atrophic vaginitis,9,128
alprazolam,tinnitus,10,87
fluoxetine,major depressive disorde,2,18
aripiprazole,depression,4,33
spironolactone,acne,9,31
fluvoxamine,anxiety and stress,9,44
lurasidone,schizophrenia,8,0
brimonidine,rosacea,1,16
linaclotide,irritable bowel syndrome,8,17
mirtazapine,anxiety,8,72
isotretinoin,acne,7,10
ropinirole,restless legs syndrome,10,14
zoledronic acid,osteolytic bone metastases of solid tumors,10,31
levonorgestrel,birth control,10,1
propranolol,anxiety,10,40
levofloxacin,bronchitis,8,20
cephalexin,skin or soft tissue infection,1,7
clomipramine,obsessive compulsive disorde,1,3
medroxyprogesterone,endometriosis,9,51
dextromethorphan,cough,1,3
olanzapine,bipolar disorde,9,9
fentanyl,breakthrough pain,6,17
levonorgestrel,birth control,2,2
desvenlafaxine,depression,10,101
levonorgestrel,birth control,3,4
dulaglutide,"diabetes, type 2",9,12
morphine,chronic pain,5,54
urea,nan,10,13
fluoxetine,depression,1,19
bupropion,depression,4,0
tamsulosin,benign prostatic hyperplasia,5,12
loratadine,allergic rhinitis,10,21
propofol,anesthesia,10,6
hydroxychloroquine,undifferentiated connective tissue disease,1,57
insulin degludec,"diabetes, type 1",1,12
levonorgestrel,birth control,10,1
miconazole,vaginal yeast infection,1,6
lurasidone,bipolar disorde,7,36
linaclotide,"constipation, chronic",6,49
liraglutide,"diabetes, type 2",5,18
bupropion,depression,10,14
lisinopril,high blood pressure,10,55
empagliflozin,"diabetes, type 2",10,47
naproxen,period pain,3,1
metoprolol,atrial fibrillation,10,30
alprazolam,anxiety,10,4
ulipristal,emergency contraception,10,10
brimonidine,rosacea,1,21
escitalopram,generalized anxiety disorde,7,13
metoprolol,high blood pressure,2,19
gemfibrozil,high cholesterol,9,18
testosterone,"hypogonadism, male",10,15
medroxyprogesterone,abnormal uterine bleeding,8,6
tioconazole,vaginal yeast infection,10,25
methimazole,hyperthyroidism,4,3
fluoxetine,depression,8,5
lubiprostone,irritable bowel syndrome,1,9
temozolomide,anaplastic oligodendroglioma,10,19
nabumetone,rheumatoid arthritis,4,31
levonorgestrel,emergency contraception,9,11
meloxicam,osteoarthritis,10,26
escitalopram,generalized anxiety disorde,5,7
gabapentin,hot flashes,8,97
levomilnacipran,depression,1,41
clindamycin,bacterial infection,10,19
tioconazole,vaginal yeast infection,1,2
liraglutide,"diabetes, type 2",10,6
escitalopram,anxiety,10,11
gabapentin,pain,6,22
rizatriptan,migraine,10,24
liraglutide,"diabetes, type 2",10,13
desvenlafaxine,depression,8,93
tizanidine,muscle spasm,10,80
miconazole,vaginal yeast infection,2,4
paroxetine,trichotillomania,10,15
venlafaxine,irritable bowel syndrome,10,3
carbamazepine,epilepsy,8,0
doxycycline,acne,9,35
fluconazole,vaginal yeast infection,10,25
propofol,anesthesia,10,9
pimecrolimus,eczema,5,6
levonorgestrel,birth control,4,3
pramipexole,restless legs syndrome,9,28
nitrofurantoin,urinary tract infection,10,6
metronidazole,dental abscess,5,22
ziprasidone,bipolar disorde,1,10
naproxen,period pain,7,6
medroxyprogesterone,birth control,8,1
moxifloxacin,bronchitis,6,7
celecoxib,pain,10,105
montelukast,allergic rhinitis,2,17
atomoxetine,adhd,9,23
escitalopram,depression,8,376
doxycycline,acne,9,3
anastrozole,breast cance,6,40
linaclotide,irritable bowel syndrome,10,128
phenol,sore throat,6,7
duloxetine,anxiety,1,27
fentanyl,pain,9,39
mirtazapine,anxiety,10,58
alprazolam,anxiety,10,46
venlafaxine,depression,1,14
levonorgestrel,emergency contraception,10,19
lansoprazole,barrett's esophagus,10,20
liraglutide,obesity,7,21
milnacipran,ibromyalgia,2,29
oxymorphone,pain,8,14
testosterone,"hypogonadism, male",1,7
azithromycin,bronchitis,10,34
ciprofloxacin,diverticulitis,8,78
metformin,polycystic ovary syndrome,10,24
levonorgestrel,birth control,10,2
sertraline,obsessive compulsive disorde,9,5
prazosin,high blood pressure,6,2
terbinafine,"onychomycosis, toenail",10,151
dulaglutide,"diabetes, type 2",8,13
mirtazapine,anxiety,10,51
progesterone,progesterone insufficiency,4,8
levonorgestrel,birth control,7,1
sertraline,anxiety and stress,10,100
medroxyprogesterone,abnormal uterine bleeding,7,41
tamsulosin,benign prostatic hyperplasia,8,9
quetiapine,bipolar disorde,10,30
methylphenidate,depression,10,54
topiramate,ibromyalgia,1,42
escitalopram,depression,10,81
acyclovir,herpes simplex,10,36
silodosin,benign prostatic hyperplasia,1,10
amitriptyline,insomnia,1,15
metoclopramide,gastroparesis,1,15
indomethacin,"gout, acute",7,7
copper,birth control,9,10
meclizine,motion sickness,10,54
amitriptyline,migraine prevention,9,36
bupropion,depression,8,46
miconazole,vaginal yeast infection,9,15
lamotrigine,bipolar disorde,8,16
nitrofurantoin,urinary tract infection,7,2
escitalopram,anxiety,10,25
nitrofurantoin,urinary tract infection,9,27
mirtazapine,insomnia,8,37
rizatriptan,migraine,10,4
citalopram,anxiety and stress,9,153
zolpidem,insomnia,8,5
metoprolol,high blood pressure,10,55
clonazepam,anxiety,10,261
quetiapine,insomnia,9,60
aripiprazole,autism,10,141
clarithromycin,otitis media,10,16
duloxetine,chronic pain,7,29
varenicline,smoking cessation,10,26
levonorgestrel,emergency contraception,9,35
tolterodine,overactive bladde,1,29
fluoxetine,ibromyalgia,7,54
hydroxyzine,anxiety,7,38
ramelteon,insomnia,1,5
clindamycin,surgical prophylaxis,1,4
infliximab,psoriatic arthritis,10,20
rabeprazole,erosive esophagitis,10,43
metoprolol,premature ventricular depolarizations,9,24
pantoprazole,stomach ulce,1,1
levonorgestrel,emergency contraception,10,9
doxepin,nan,10,25
cipro,urinary tract infection,10,69
levonorgestrel,emergency contraception,10,3
doxycycline,rosacea,10,28
sertraline,depression,6,25
levonorgestrel,abnormal uterine bleeding,9,112
alprazolam,anxiety,10,134
diazepam,anxiety,9,68
bisacodyl,constipation,6,6
miconazole,vaginal yeast infection,1,7
escitalopram,generalized anxiety disorde,3,7
morphine,chronic pain,10,43
suvorexant,insomnia,1,24
methylphenidate,adhd,9,122
risperidone,paranoid disorde,4,6
clonazepam,panic disorde,7,24
liraglutide,obesity,10,14
diclofenac,pain,9,17
gabapentin,anxiety,10,118
dimenhydrinate,nausea/vomiting,9,62
ibuprofen,pain,6,13
sumatriptan,migraine,1,9
polyethylene glycol 3350,constipation,10,58
propranolol,mance anxiety,10,38
celecoxib,pain,9,119
clonazepam,night terrors,5,9
venlafaxine,depression,9,1
levonorgestrel,abnormal uterine bleeding,8,6
varenicline,smoking cessation,10,1
carbamazepine,epilepsy,9,2
bisacodyl,constipation,5,4
metronidazole,bacterial infection,1,20
levonorgestrel,emergency contraception,10,0
tapentadol,pain,9,30
doxycycline,chlamydia infection,9,2
ketorolac,pain,10,9
methylphenidate,adhd,10,72
metronidazole,clostridial infection,6,13
dutasteride,benign prostatic hyperplasia,6,42
hydroxychloroquine,dermatomyositis,10,36
venlafaxine,depression,1,10
propofol,anesthesia,10,13
zolpidem,insomnia,6,35
propranolol,benign essential trem,8,33
ceftriaxone,bacterial infection,10,12
ranexa,angina,10,22
duloxetine,ibromyalgia,1,17
isotretinoin,acne,7,8
levonorgestrel,emergency contraception,9,4
sitagliptin,"diabetes, type 2",10,43
venlafaxine,depression,10,39
doxycycline,acne,10,10
desvenlafaxine,depression,3,13
retapamulin,impetig,8,7
hydroxychloroquine,rheumatoid arthritis,1,111
levetiracetam,epilepsy,7,3
miconazole,vaginal yeast infection,1,4
duloxetine,depression,10,27
baclofen,alcohol withdrawal,10,58
lisinopril,high blood pressure,7,26
halobetasol,psoriasis,10,2
lurasidone,bipolar disorde,5,52
linaclotide,"constipation, chronic",1,26
duloxetine,depression,10,32
alli,142</span> users found this comment helpful.,9,142
linaclotide,"constipation, chronic",9,49
cefdinir,sinusitis,1,14
tramadol,pain,9,25
lamotrigine,bipolar disorde,10,45
tretinoin,acne,8,25
morphine,chronic pain,9,28
varenicline,smoking cessation,10,13
escitalopram,obsessive compulsive disorde,8,8
olanzapine,schizoaffective disorde,8,18
sertraline,bipolar disorde,10,21
levonorgestrel,birth control,9,2
methyl salicylate,osteoarthritis,10,2
doxycycline,chlamydia infection,8,15
clindamycin,not listed / othe,8,5
norethindrone,birth control,1,8
dextromethorphan,cough,2,37
ketorolac,pain,10,9
estradiol,atrophic vaginitis,3,8
quetiapine,insomnia,10,63
fluoxetine,anxiety and stress,10,173
nystatin,oral thrush,8,28
quetiapine,depression,9,7
diphenhydramine,insomnia,8,6
zolmitriptan,migraine,8,0
levothyroxine,underactive thyroid,10,77
montelukast,asthma,1,49
levonorgestrel,birth control,5,4
clindamycin,bacterial infection,6,7
levonorgestrel,birth control,6,6
copper,birth control,9,2
duloxetine,ibromyalgia,8,29
sertraline,depression,9,85
minocycline,acne,9,30
empagliflozin,"diabetes, type 2",9,12
clonazepam,anxiety,9,47
nortriptyline,irritable bowel syndrome,10,80
pregabalin,reflex sympathetic dystrophy syndrome,9,11
levonorgestrel,emergency contraception,10,17
azithromycin,bacterial infection,1,10
venlafaxine,depression,9,1
azithromycin,bronchitis,10,36
sucralfate,gerd,9,0
cetirizine,urticaria,1,5
miconazole,vaginal yeast infection,2,2
amoxicillin,urinary tract infection,1,28
soma,muscle spasm,10,34
alprazolam,panic disorde,10,137
meloxicam,ibromyalgia,7,29
bisacodyl,bowel preparation,6,8
lubiprostone,irritable bowel syndrome,5,38
valacyclovir,"herpes simplex, suppression",9,8
hydroxychloroquine,systemic lupus erythematosus,10,74
orlistat,obesity,1,18
liraglutide,obesity,10,19
diltiazem,atrial fibrillation,10,68
lamotrigine,bipolar disorde,10,8
tretinoin,acne,9,13
clonazepam,panic disorde,10,8
medroxyprogesterone,nan,6,1
losartan,high blood pressure,1,124
gabapentin,migraine,9,71
duloxetine,pain,9,20
desvenlafaxine,depression,1,35
hydroxyzine,anxiety,7,129
lithium,bipolar disorde,10,19
apri,birth control,2,0
metronidazole,bacterial vaginitis,9,1
ella,emergency contraception,9,10
aripiprazole,bipolar disorde,7,14
levonorgestrel,emergency contraception,1,5
lorazepam,insomnia,8,74
clonazepam,insomnia,1,49
docusate,constipation,5,5
clarithromycin,bronchitis,10,18
fluoxetine,depression,10,88
testosterone,"hypogonadism, male",9,21
venlafaxine,depression,9,6
fluoxetine,major depressive disorde,10,70
hydrochlorothiazide,high blood pressure,6,36
lorazepam,anxiety,10,15
medroxyprogesterone,abnormal uterine bleeding,1,17
liraglutide,"diabetes, type 2",1,7
aripiprazole,depression,1,41
citalopram,depression,2,6
gabapentin,anxiety,8,23
flurbiprofen,period pain,8,2
levetiracetam,seizures,6,27
methotrexate,psoriasis,9,13
epinephrine,"asthma, acute",10,11
cephalexin,bacterial infection,5,22
varenicline,smoking cessation,10,16
testosterone,"hypogonadism, male",10,21
carbamazepine,bipolar disorde,6,8
lorazepam,insomnia,8,79
metronidazole,bacterial vaginitis,10,22
meloxicam,inflammatory conditions,4,24
diclofenac,pain,1,23
levomilnacipran,depression,2,66
medroxyprogesterone,birth control,1,7
citalopram,depression,3,11
gabapentin,pain,10,133
febuxostat,gout,10,31
clindamycin,acne,10,4
eluxadoline,irritable bowel syndrome,1,14
fluoxetine,depression,9,122
ondansetron,nausea/vomiting,9,4
cipro,bladder infection,2,70
linaclotide,"constipation, chronic",10,38
paliperidone,schizophrenia,5,14
metoprolol,high blood pressure,10,83
lamotrigine,bipolar disorde,10,53
tofacitinib,rheumatoid arthritis,4,0
pregabalin,pain,10,55
cephalexin,skin or soft tissue infection,10,38
mirtazapine,insomnia,8,46
vilazodone,anxiety,1,7
dextromethorphan,cough,1,6
dapsone,acne,10,39
levothyroxine,underactive thyroid,6,10
diclofenac,pain,9,68
vilazodone,depression,8,57
paliperidone,schizophrenia,2,5
metronidazole,bacterial infection,10,3
ranitidine,gerd,10,44
citalopram,depression,8,79
copper,birth control,9,12
etodolac,osteoarthritis,1,15
paroxetine,anxiety and stress,1,3
metronidazole,bacterial infection,10,13
levetiracetam,seizures,5,32
lisinopril,high blood pressure,4,26
escitalopram,depression,9,2
atomoxetine,adhd,4,0
olanzapine,bipolar disorde,8,3
desmopressin,diabetes insipidus,8,6
bupropion,depression,10,41
magnesium hydroxide,constipation,10,21
aripiprazole,schizophrenia,10,53
levonorgestrel,birth control,6,7
quetiapine,insomnia,9,32
medroxyprogesterone,abnormal uterine bleeding,1,17
quetiapine,insomnia,10,71
diclofenac,back pain,10,22
azelastine,allergic rhinitis,10,41
mirtazapine,anxiety,1,31
doxycycline,acne,8,15
alprazolam,anxiety,10,44
doxycycline,acne,9,39
desvenlafaxine,depression,8,81
metoprolol,atrial fibrillation,10,55
citalopram,borderline personality disorde,8,10
dexlansoprazole,gerd,10,43
desvenlafaxine,depression,7,27
brexpiprazole,major depressive disorde,9,32
cephalexin,skin or soft tissue infection,9,114
bupropion,depression,10,88
bupropion,adhd,10,30
varenicline,smoking cessation,8,15
desvenlafaxine,depression,1,13
azithromycin,bronchitis,2,8
tadalafil,erectile dysfunction,9,75
losartan,high blood pressure,7,38
lurasidone,bipolar disorde,9,61
levofloxacin,pneumonia,10,18
aripiprazole,bipolar disorde,1,11
gabapentin,anxiety,10,86
clonazepam,panic disorde,9,13
sertraline,obsessive compulsive disorde,9,53
gabapentin,trigeminal neuralgia,10,36
bupropion,depression,2,40
topiramate,migraine prevention,9,42
