usp_category,usp_class,usp_drug,drug_example
Analgesics,Nonsteroidal Anti-inflammatory Drugs,celecoxib,celecoxib
Analgesics,Nonsteroidal Anti-inflammatory Drugs,diclofenac,diclofenac
Analgesics,Nonsteroidal Anti-inflammatory Drugs,diclofenac,diclofenac potassium
Analgesics,Nonsteroidal Anti-inflammatory Drugs,diclofenac,diclofenac sodium
Analgesics,Nonsteroidal Anti-inflammatory Drugs,diclofenac,diclofenac diethylamine
Analgesics,Nonsteroidal Anti-inflammatory Drugs,diclofenac,diclofenac hydroxyethylpyrrolidine
Analgesics,Nonsteroidal Anti-inflammatory Drugs,diclofenac,diclofenac calcium
Analgesics,Nonsteroidal Anti-inflammatory Drugs,diflunisal,diflunisal
Analgesics,Nonsteroidal Anti-inflammatory Drugs,etodolac,etodolac
Analgesics,Nonsteroidal Anti-inflammatory Drugs,fenoprofen,fenoprofen
Analgesics,Nonsteroidal Anti-inflammatory Drugs,fenoprofen,fenoprofen calcium
Analgesics,Nonsteroidal Anti-inflammatory Drugs,flurbiprofen,flurbiprofen
Analgesics,Nonsteroidal Anti-inflammatory Drugs,flurbiprofen,flurbiprofen axetil
Analgesics,Nonsteroidal Anti-inflammatory Drugs,flurbiprofen,flurbiprofen sodium
Analgesics,Nonsteroidal Anti-inflammatory Drugs,flurbiprofen,esflurbiprofen
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ibuprofen,ibuprofen
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ibuprofen,ibuprofen piconol
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ibuprofen,ibuprofen aluminum
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ibuprofen,ibuprofen lysine
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ibuprofen,ibuprofen arginine salt
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ibuprofen,ibuprofen sodium
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ibuprofen,ibuprofen sodium
Analgesics,Nonsteroidal Anti-inflammatory Drugs,indomethacin,indomethacin
Analgesics,Nonsteroidal Anti-inflammatory Drugs,indomethacin,indomethacin sodium
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ketoprofen,ketoprofen
