name,dosage_form,generic_name,strength,manufacturer,price
a-clox,powder for suspension,cloxacillin sodium,125 mg/5 ml,acme laboratories ltd.,0.0
a-clox,capsule,cloxacillin sodium,500 mg,acme laboratories ltd.,5.98
a-clox,injection,cloxacillin sodium,250 mg/vial,acme laboratories ltd.,20.0
a-cal dx,tablet,calcium carbonate [elemental source] + vitamin d3,500 mg+400 iu,acme laboratories ltd.,7.5
a-cal d,tablet,calcium carbonate [elemental source] + vitamin d3,500 mg+200 iu,acme laboratories ltd.,7.0
a-cold,syrup,bromhexine hydrochloride,4 mg/5 ml,acme laboratories ltd.,0.0
a-fenac,tablet,diclofenac sodium,25 mg,acme laboratories ltd.,0.55
a-calm,tablet,tolperisone hydrochloride,50 mg,acme laboratories ltd.,8.0
5x,tablet,ulipristal acetate [for emergency contraception],30 mg,renata limited,0.0
5-fluril,iv injection or infusion,fluorouracil,25 mg/ml,techno drugs ltd.,0.0
5 fu phares,iv injection or infusion,fluorouracil,25 mg/ml,pharma resources,0.0
a-cal,tablet,calcium carbonate [elemental source],500 mg,acme laboratories ltd.,5.0
3rd cef,tablet,cefixime trihydrate,400 mg,medimet pharmaceuticals ltd.,50.0
3rd cef,powder for suspension,cefixime trihydrate,100 mg/5 ml,medimet pharmaceuticals ltd.,0.0
3d,capsule,cholecalciferol [vitamin d3],20000 iu,jenphar bangladesh ltd.,20.0
3-geocef,powder for suspension,cefixime trihydrate,100 mg/5 ml,hallmark pharmaceuticals ltd.,0.0
3rd cef,tablet,cefixime trihydrate,200 mg,medimet pharmaceuticals ltd.,27.0
3-c,powder for suspension,cefixime trihydrate,100 mg/5 ml,edruc limited,0.0
a-care,tablet,betacarotene + vitamin c + vitamin e,6 mg+200 mg+50 mg,asiatic laboratories ltd.,2.5
3-c,capsule,cefixime trihydrate,400 mg,edruc limited,48.0
a-clox,injection,cloxacillin sodium,500 mg/vial,acme laboratories ltd.,28.43
3 bion,tablet,"vitamin b1, b6 & b12",100 mg+200 mg+200 mcg,jenphar bangladesh ltd.,10.0
3-f,tablet,levofloxacin hemihydrate,500 mg,edruc limited,14.0
a-phenicol,ophthalmic solution,chloramphenicol,0.5%,acme laboratories ltd.,0.0
3d,tablet,cholecalciferol [vitamin d3],2000 iu,jenphar bangladesh ltd.,2.5
