group,indication,Score,drug_class
medication,hydrocortisone,0.92296624,hydrocortisone & combined preparations
therapeutic_procedure,combined preparations,0.71817887,hydrocortisone & combined preparations
administration,topical,0.93662393,topical antiviral preparations
therapeutic_procedure,preparations,0.5808506,topical antiviral preparations
disease_disorder,herpes,0.77169335,herpes simplex & varicella-zoster virus infections
disease_disorder,simplex,0.5988854,herpes simplex & varicella-zoster virus infections
disease_disorder,infections,0.99973863,herpes simplex & varicella-zoster virus infections
diagnostic_procedure,ophthalmic anti - viral products,0.9906392,ophthalmic anti-viral products
therapeutic_procedure,antidote preparations,0.8836351,antidote preparations
detailed_description,combined,0.93485177,combined bronchodilators
therapeutic_procedure,bronchodilators,0.93598926,combined bronchodilators
diagnostic_procedure,oral retinoid preparations,0.9383651,oral retinoid preparations
therapeutic_procedure,haemodialysis solutions,0.99399763,haemodialysis solutions
medication,carbonic,0.579399,carbonic anhydrase inhibitor
medication,steroidal anti - inflammatory drugs,0.983231,non-steroidal anti-inflammatory drugs (nsaids)
medication,nsaids,0.83558786,non-steroidal anti-inflammatory drugs (nsaids)
medication,drugs,0.97521734,drugs for osteoarthritis
disease_disorder,osteoarthritis,0.9525166,drugs for osteoarthritis
medication,herbal,0.5304499,herbal and nutraceuticals
medication,drugs,0.7210219,drugs used in gout
history,gout,0.6896461,drugs used in gout
sign_symptom,retention,0.99770254,bph/ urinary retention/ urinary incontinence
detailed_description,urinary,0.8876981,bph/ urinary retention/ urinary incontinence
sign_symptom,incontinence,0.82377565,bph/ urinary retention/ urinary incontinence
diagnostic_procedure,vitamin in bone formation,0.999136,vitamin in bone formation
biological_structure,bone,0.9946467,combined preparations: inhibiting bone resorption
diagnostic_procedure,bisphosphonate preparations,0.9983842,bisphosphonate preparations
diagnostic_procedure,protein kinase inhibitor,0.99780685,protein kinase inhibitor
therapeutic_procedure,plasma expanders,0.97195196,plasma expanders
medication,anti - depressant drugs,0.9944534,atypical anti-depressant drugs
medication,chemotherapy,0.9987558,cytotoxic chemotherapy
diagnostic_procedure,tyrosine kinase inhibitor,0.974566,tyrosine kinase inhibitor
diagnostic_procedure,vaccines,0.95538664,"vaccines, anti-sera & immunoglobulin"
diagnostic_procedure,anti - sera,0.9829714,"vaccines, anti-sera & immunoglobulin"
therapeutic_procedure,supplements,0.9513062,supplements & adjuvant therapy
therapeutic_procedure,therapy,0.56243646,supplements & adjuvant therapy
detailed_description,chronic,0.9996749,drugs used in chronic kidney dialysis
biological_structure,kidney,0.99616665,drugs used in chronic kidney dialysis
therapeutic_procedure,dialysis,0.9808678,drugs used in chronic kidney dialysis
detailed_description,parent,0.7965905,parenteral nutritional preparations
diagnostic_procedure,nutritional,0.84982705,parenteral nutritional preparations
therapeutic_procedure,preparations,0.59250087,parenteral nutritional preparations
diagnostic_procedure,aminoglycosides,0.9996394,aminoglycosides
sign_symptom,cough,0.6656617,cough expectorants & mucolytics
diagnostic_procedure,expect,0.67895246,cough expectorants & mucolytics
diagnostic_procedure,mucolytics,0.98203444,cough expectorants & mucolytics
sign_symptom,hyper,0.54899156,anti-hypertensive
detailed_description,respiratory,0.8215539,respiratory viral infections (influenza)
disease_disorder,viral,0.97077113,respiratory viral infections (influenza)
disease_disorder,infections,0.7557543,respiratory viral infections (influenza)
disease_disorder,influenza,0.9877175,respiratory viral infections (influenza)
diagnostic_procedure,anticholinergics,0.98343486,anticholinergics
medication,topical agents,0.98531497,miscellaneous topical agents
medication,benzodiazepine sedatives,0.9844994,benzodiazepine sedatives
diagnostic_procedure,other preparations,0.72849643,other preparations
administration,topical,0.9897344,topical antifungal preparations
therapeutic_procedure,antifungal preparations,0.8590313,topical antifungal preparations
detailed_description,combined,0.97804147,combined antihypertensive preparations
medication,antihypertensive preparations,0.9267351,combined antihypertensive preparations
diagnostic_procedure,anginal,0.71700346,anti-anginal & lipid lowering drugs
therapeutic_procedure,lowering,0.71387535,anti-anginal & lipid lowering drugs
medication,drugs,0.9075105,anti-anginal & lipid lowering drugs
medication,calcium - channel blockers,0.9982969,calcium-channel blockers
detailed_description,combined,0.9958353,combined anxiolytics & anti-depressant drugs
medication,anti - depressant drugs,0.99026006,combined anxiolytics & anti-depressant drugs
disease_disorder,drugs,0.5259655,atypical neuroleptic drugs
medication,potassium channel blockers,0.9987442,potassium channel blockers
therapeutic_procedure,bronchodilator,0.9032737,bronchodilator
detailed_description,bulk - forming,0.9998377,bulk-forming laxatives
medication,anti - malarial drugs,0.9264658,anti-malarial drugs
medication,stimulant drugs,0.79246646,cns stimulant drugs
medication,anti - emetic drugs,0.75856173,anti-emetic drugs
detailed_description,disease,0.5905774,disease-modifying antirheumatic drugs (dmards)
detailed_description,modifying,0.9061409,disease-modifying antirheumatic drugs (dmards)
medication,antirheumatic drugs,0.9946097,disease-modifying antirheumatic drugs (dmards)
diagnostic_procedure,multivitamin multimineral preparations,0.77332026,anti-oxidant multivitamin multimineral preparations
therapeutic_procedure,preparations,0.6681051,other ophthalmic preparations
administration,topical,0.99752384,topical analgesics
therapeutic_procedure,analgesics,0.65408516,topical analgesics
diagnostic_procedure,mineral preparations,0.9859219,specific mineral preparations
diagnostic_procedure,anti - histamine preparations,0.99953747,anti-histamine preparations
therapeutic_procedure,acne treatment preparations,0.97122514,acne treatment preparations
medication,cytotoxic immunosuppressants,0.9955258,cytotoxic immunosuppressants
detailed_description,targeted,0.9997663,targeted cancer therapy
therapeutic_procedure,cancer therapy,0.99974716,targeted cancer therapy
medication,drugs,0.87862194,drugs for erectile dysfunction
disease_disorder,erectile dysfunction,0.9480923,drugs for erectile dysfunction
medication,agents,0.9472285,mydriatic and cycloplegic agents
detailed_description,non depolarizing,0.8562914,non depolarizing muscle relaxants
medication,muscle relaxants,0.9979129,non depolarizing muscle relaxants
