generic_name,contraindications_description,contraindication_result
adalimumab,adalimumab should not be administered to patients with known hypersensitivity toadalimumab or any of its components.,hypersensitivity toadalimumab or any of its components
acyclovir + hydrocortisone,there is no known contraindication.,there is no known contraindication
acyclovir (topical),"acyclovircream is contraindicated in patients with known hypersensitivity to acyclovir, valacyclovir, or any component of the formulation.",hypersensitivity
acyclovir (oral),aciclovir is contraindicated in patients known to be hypersensitive to aciclovir.,hypersensitive to aciclovir
acyclovir (ophthalmic),acyclovir is contraindicated in patients known to be hypersensitive to acyclovir or valacyclovir,acyclovir or valacyclovir
acyclovir (injection),acyclovir iv injection is contraindicated in patients known to be hypersensitive to acyclovir or valacyclovir.,patients known to be hypersensitive
activated charcoal,"febrile diarrhoea. medicinal charcoal should not be taken in the case of intoxication with corrosive substances (strong acids and alkalis) as this would complicate diagnostic measures eg, oesophagoscopy and gastroscopy.",strong acids and alkalis) as this would complicate diagnostic measures
aclidinium bromide + formoterol fumarate,"use of a long-acting beta 2-adrenergic agonist (laba), including formoterol fumarate, one of the active ingredients in this combination, without an inhaled corticosteroid is contraindicated in patients with asthma. hypersensitivity to aclidinium bromide or formoterol fumarate or to any component of this product.",without an inhaled corticosteroid
acitretin,"acitretin is highly teratogenic and must not be used by women who are pregnant. the same applies to women of childbearing potential unless strict contraception is practiced 4 weeks before, during and for 2 years after treatment. the use of acitretin is contra-indicated in women who are breast feeding.acitretin is contraindicated in patients with severe hepatic or renal impairment and in patients with chronic abnormally elevated blood lipid values. concomitant administration of acitretin with other retinoids or vitamin a is contra-indicated due to the risk of hypervitaminosis a. acitretin is contra-indicated in cases of hypersensitivity to the preparation (acitretin or excipients) or to other retinoids. patients with rare glucose-galactosemalabsorption should not take this medicine.",patients with severe hepatic or renal impairment
acidic component [hco3 hemodialysis solution],known hypersensitivity to any of the ingredients of this preparation.,known hypersensitivity
acetylcysteine,"known hypersensitivity to acetylcysteine. acetylcysteine contains aspartame, thus it is contraindicated in patients suffering from phenylketonuria.",patients suffering from phenylketonuria
acetazolamide,"acetazolamide is contraindicated in cases of marked kidney and liver diseases or dysfunction, in situations in which sodium and or potassium blood serum levels decreased. acetazolamide is also contraindicated in patients with chronic noncongestive angle closure glaucoma",marked kidney and liver diseases or dysfunction
acetate formulation [hemodialysis solution],known hypersensitivity to any of the ingredients of this preparation,known hypersensitivity to any of the ingredients
acemetacin,acemetacin is contraindicated to known hypersensitivity to acemetacin or indomethacin; peptic ulcer; safety in children is not established.,hypersensitivity to acemetacin or indomethacin
aceclofenac,aceclofenac is contraindicated in patients with known hypersensitivity to it or in whom aspirin or nsaids precipitate attacks of asthma.,asthma
"bandish [oak galls, tannic acid]",there is no known contraindication.,there is no known contraindication
balarista,"there is no evidence available on contraindication. but caution should be taken in hypertension, dm, bph, cardiovascular diseases and with other cns stimulant.","hypertension, dm, bph, cardiovascular diseases"
