Entity Group,Word,Score,Sentence
Sign_symptom,hypersensitivity,0.99985325,adalimumab should not be administered to patients with known hypersensitivity toadalimumab or any of its components.
Medication,toad,0.9997948,adalimumab should not be administered to patients with known hypersensitivity toadalimumab or any of its components.
Medication,acyclovircream,0.9951826,"acyclovircream is contraindicated in patients with known hypersensitivity to acyclovir, valacyclovir, or any component of the formulation."
Sign_symptom,hyper,0.8871652,"acyclovircream is contraindicated in patients with known hypersensitivity to acyclovir, valacyclovir, or any component of the formulation."
Medication,aciclov,0.72187907,aciclovir is contraindicated in patients known to be hypersensitive to aciclovir.
Medication,acyclovir,0.9977528,acyclovir is contraindicated in patients known to be hypersensitive to acyclovir or valacyclovir
Sign_symptom,hypersensitive,0.9658628,acyclovir is contraindicated in patients known to be hypersensitive to acyclovir or valacyclovir
Medication,acyclovir,0.99675465,acyclovir is contraindicated in patients known to be hypersensitive to acyclovir or valacyclovir
Medication,valacyclovir,0.9955128,acyclovir is contraindicated in patients known to be hypersensitive to acyclovir or valacyclovir
Medication,acyclovir,0.91912955,acyclovir iv injection is contraindicated in patients known to be hypersensitive to acyclovir or valacyclovir.
Administration,injection,0.9994085,acyclovir iv injection is contraindicated in patients known to be hypersensitive to acyclovir or valacyclovir.
Medication,acyclov,0.7965152,acyclovir iv injection is contraindicated in patients known to be hypersensitive to acyclovir or valacyclovir.
Detailed_description,febril,0.9614564,"febrile diarrhoea. medicinal charcoal should not be taken in the case of intoxication with corrosive substances (strong acids and alkalis) as this would complicate diagnostic measures eg, oesophagoscopy and gastroscopy."
Sign_symptom,diarrhoe,0.49814034,"febrile diarrhoea. medicinal charcoal should not be taken in the case of intoxication with corrosive substances (strong acids and alkalis) as this would complicate diagnostic measures eg, oesophagoscopy and gastroscopy."
Detailed_description,medicinal,0.99673957,"febrile diarrhoea. medicinal charcoal should not be taken in the case of intoxication with corrosive substances (strong acids and alkalis) as this would complicate diagnostic measures eg, oesophagoscopy and gastroscopy."
Diagnostic_procedure,charcoal,0.98648953,"febrile diarrhoea. medicinal charcoal should not be taken in the case of intoxication with corrosive substances (strong acids and alkalis) as this would complicate diagnostic measures eg, oesophagoscopy and gastroscopy."
Sign_symptom,into,0.99904066,"febrile diarrhoea. medicinal charcoal should not be taken in the case of intoxication with corrosive substances (strong acids and alkalis) as this would complicate diagnostic measures eg, oesophagoscopy and gastroscopy."
