group,indication,score,contraindications_description,generic_name,contraindication_result
contradicted drug,toad,0.9997948,adalimumab should not be administered to patients with known hypersensitivity toadalimumab or any of its components.,adalimumab,hypersensitivity toadalimumab or any of its components
contradicted drug,acyclovircream,0.9951826,"acyclovircream is contraindicated in patients with known hypersensitivity to acyclovir, valacyclovir, or any component of the formulation.",acyclovir (topical),hypersensitivity
contradicted drug,aciclov,0.72187907,aciclovir is contraindicated in patients known to be hypersensitive to aciclovir.,acyclovir (oral),hypersensitive to aciclovir
contradicted drug,acyclovir,0.9977528,acyclovir is contraindicated in patients known to be hypersensitive to acyclovir or valacyclovir,acyclovir (ophthalmic),acyclovir or valacyclovir
contradicted drug,acyclovir,0.99675465,acyclovir is contraindicated in patients known to be hypersensitive to acyclovir or valacyclovir,acyclovir (ophthalmic),acyclovir or valacyclovir
contradicted drug,valacyclovir,0.9955128,acyclovir is contraindicated in patients known to be hypersensitive to acyclovir or valacyclovir,acyclovir (ophthalmic),acyclovir or valacyclovir
contradicted drug,acyclovir,0.91912955,acyclovir iv injection is contraindicated in patients known to be hypersensitive to acyclovir or valacyclovir.,acyclovir (injection),patients known to be hypersensitive
contradicted drug,acyclov,0.7965152,acyclovir iv injection is contraindicated in patients known to be hypersensitive to acyclovir or valacyclovir.,acyclovir (injection),patients known to be hypersensitive
contradicted drug,strong,0.88223565,"febrile diarrhoea. medicinal charcoal should not be taken in the case of intoxication with corrosive substances (strong acids and alkalis) as this would complicate diagnostic measures eg, oesophagoscopy and gastroscopy.",activated charcoal,strong acids and alkalis) as this would complicate diagnostic measures
contradicted drug,beta 2,0.78207266,"use of a long-acting beta 2-adrenergic agonist (laba), including formoterol fumarate, one of the active ingredients in this combination, without an inhaled corticosteroid is contraindicated in patients with asthma. hypersensitivity to aclidinium bromide or formoterol fumarate or to any component of this product.",aclidinium bromide + formoterol fumarate,without an inhaled corticosteroid
contradicted drug,formoterol fumarate,0.9966464,"use of a long-acting beta 2-adrenergic agonist (laba), including formoterol fumarate, one of the active ingredients in this combination, without an inhaled corticosteroid is contraindicated in patients with asthma. hypersensitivity to aclidinium bromide or formoterol fumarate or to any component of this product.",aclidinium bromide + formoterol fumarate,without an inhaled corticosteroid
contradicted drug,corticosteroid,0.9960429,"use of a long-acting beta 2-adrenergic agonist (laba), including formoterol fumarate, one of the active ingredients in this combination, without an inhaled corticosteroid is contraindicated in patients with asthma. hypersensitivity to aclidinium bromide or formoterol fumarate or to any component of this product.",aclidinium bromide + formoterol fumarate,without an inhaled corticosteroid
contradicted drug,formoterol fumarate,0.99763346,"use of a long-acting beta 2-adrenergic agonist (laba), including formoterol fumarate, one of the active ingredients in this combination, without an inhaled corticosteroid is contraindicated in patients with asthma. hypersensitivity to aclidinium bromide or formoterol fumarate or to any component of this product.",aclidinium bromide + formoterol fumarate,without an inhaled corticosteroid
contradicted drug,acitretin,0.9722704,"acitretin is highly teratogenic and must not be used by women who are pregnant. the same applies to women of childbearing potential unless strict contraception is practiced 4 weeks before, during and for 2 years after treatment. the use of acitretin is contra-indicated in women who are breast feeding.acitretin is contraindicated in patients with severe hepatic or renal impairment and in patients with chronic abnormally elevated blood lipid values. concomitant administration of acitretin with other retinoids or vitamin a is contra-indicated due to the risk of hypervitaminosis a. acitretin is contra-indicated in cases of hypersensitivity to the preparation (acitretin or excipients) or to other retinoids. patients with rare glucose-galactosemalabsorption should not take this medicine.",acitretin,patients with severe hepatic or renal impairment
contradicted patient history,childbearing potential,0.6388588,"acitretin is highly teratogenic and must not be used by women who are pregnant. the same applies to women of childbearing potential unless strict contraception is practiced 4 weeks before, during and for 2 years after treatment. the use of acitretin is contra-indicated in women who are breast feeding.acitretin is contraindicated in patients with severe hepatic or renal impairment and in patients with chronic abnormally elevated blood lipid values. concomitant administration of acitretin with other retinoids or vitamin a is contra-indicated due to the risk of hypervitaminosis a. acitretin is contra-indicated in cases of hypersensitivity to the preparation (acitretin or excipients) or to other retinoids. patients with rare glucose-galactosemalabsorption should not take this medicine.",acitretin,patients with severe hepatic or renal impairment
