group,indication,Score,side_effects,generic_name
sign_symptom,adverse reaction,0.789032," the most common adverse reaction with adalimumab was injection site reactions (erythema and/or itching, hemorrhage, pain or swelling). the most common adverse reactions leading to discontinuation of adalimumab in rheumatoid arthritis were clinical flare reaction, rash and pneumonia.  
 
 other adverse reactions of adalimumab includes- gastrointestinal disorders: diverticulitis, large bowel perforations including perforations associated with diverticulitis and appendiceal perforations associated with appendicitis, pancreatitis. 
 general disorders and administration site conditions: pyrexia. 
 hepato-biliary disorders: liver failure, hepatitis. 
 immune system disorders: sarcoidosis. 
 neoplasms benign, malignant and unspecified (including cysts and polyps): merkel cell carcinoma (neuroendocrine carcinoma of the skin). 
 nervous system disorders: demyelinating disorders (e.g., optic neuritis, guillain-barr syndrome). 
 cerebrovascular accident respiratory disorders: interstitial lung disease, including pulmonary fibrosis. 
 pulmonary embolism skin reactions: stevens johnson syndrome, cutaneous vasculitis, erythema multiforme, new or worsening psoriasis (all sub-types including pustular and palmoplantar), alopecia. 
 vascular disorders: systemic vasculitis, deep vein thrombosis. 
  ",adalimumab
sign_symptom,pain,0.9997068," the most common adverse reaction with adalimumab was injection site reactions (erythema and/or itching, hemorrhage, pain or swelling). the most common adverse reactions leading to discontinuation of adalimumab in rheumatoid arthritis were clinical flare reaction, rash and pneumonia.  
 
 other adverse reactions of adalimumab includes- gastrointestinal disorders: diverticulitis, large bowel perforations including perforations associated with diverticulitis and appendiceal perforations associated with appendicitis, pancreatitis. 
 general disorders and administration site conditions: pyrexia. 
 hepato-biliary disorders: liver failure, hepatitis. 
 immune system disorders: sarcoidosis. 
 neoplasms benign, malignant and unspecified (including cysts and polyps): merkel cell carcinoma (neuroendocrine carcinoma of the skin). 
 nervous system disorders: demyelinating disorders (e.g., optic neuritis, guillain-barr syndrome). 
 cerebrovascular accident respiratory disorders: interstitial lung disease, including pulmonary fibrosis. 
 pulmonary embolism skin reactions: stevens johnson syndrome, cutaneous vasculitis, erythema multiforme, new or worsening psoriasis (all sub-types including pustular and palmoplantar), alopecia. 
 vascular disorders: systemic vasculitis, deep vein thrombosis. 
  ",adalimumab
sign_symptom,adverse reactions,0.97730947," the most common adverse reaction with adalimumab was injection site reactions (erythema and/or itching, hemorrhage, pain or swelling). the most common adverse reactions leading to discontinuation of adalimumab in rheumatoid arthritis were clinical flare reaction, rash and pneumonia.  
 
 other adverse reactions of adalimumab includes- gastrointestinal disorders: diverticulitis, large bowel perforations including perforations associated with diverticulitis and appendiceal perforations associated with appendicitis, pancreatitis. 
 general disorders and administration site conditions: pyrexia. 
 hepato-biliary disorders: liver failure, hepatitis. 
 immune system disorders: sarcoidosis. 
 neoplasms benign, malignant and unspecified (including cysts and polyps): merkel cell carcinoma (neuroendocrine carcinoma of the skin). 
 nervous system disorders: demyelinating disorders (e.g., optic neuritis, guillain-barr syndrome). 
 cerebrovascular accident respiratory disorders: interstitial lung disease, including pulmonary fibrosis. 
 pulmonary embolism skin reactions: stevens johnson syndrome, cutaneous vasculitis, erythema multiforme, new or worsening psoriasis (all sub-types including pustular and palmoplantar), alopecia. 
 vascular disorders: systemic vasculitis, deep vein thrombosis. 
  ",adalimumab
disease_disorder,rheuma,0.8858123," the most common adverse reaction with adalimumab was injection site reactions (erythema and/or itching, hemorrhage, pain or swelling). the most common adverse reactions leading to discontinuation of adalimumab in rheumatoid arthritis were clinical flare reaction, rash and pneumonia.  
 
 other adverse reactions of adalimumab includes- gastrointestinal disorders: diverticulitis, large bowel perforations including perforations associated with diverticulitis and appendiceal perforations associated with appendicitis, pancreatitis. 
 general disorders and administration site conditions: pyrexia. 
 hepato-biliary disorders: liver failure, hepatitis. 
 immune system disorders: sarcoidosis. 
 neoplasms benign, malignant and unspecified (including cysts and polyps): merkel cell carcinoma (neuroendocrine carcinoma of the skin). 
 nervous system disorders: demyelinating disorders (e.g., optic neuritis, guillain-barr syndrome). 
 cerebrovascular accident respiratory disorders: interstitial lung disease, including pulmonary fibrosis. 
 pulmonary embolism skin reactions: stevens johnson syndrome, cutaneous vasculitis, erythema multiforme, new or worsening psoriasis (all sub-types including pustular and palmoplantar), alopecia. 
 vascular disorders: systemic vasculitis, deep vein thrombosis. 
  ",adalimumab
disease_disorder,arthritis,0.997771," the most common adverse reaction with adalimumab was injection site reactions (erythema and/or itching, hemorrhage, pain or swelling). the most common adverse reactions leading to discontinuation of adalimumab in rheumatoid arthritis were clinical flare reaction, rash and pneumonia.  
 
 other adverse reactions of adalimumab includes- gastrointestinal disorders: diverticulitis, large bowel perforations including perforations associated with diverticulitis and appendiceal perforations associated with appendicitis, pancreatitis. 
 general disorders and administration site conditions: pyrexia. 
 hepato-biliary disorders: liver failure, hepatitis. 
 immune system disorders: sarcoidosis. 
 neoplasms benign, malignant and unspecified (including cysts and polyps): merkel cell carcinoma (neuroendocrine carcinoma of the skin). 
 nervous system disorders: demyelinating disorders (e.g., optic neuritis, guillain-barr syndrome). 
 cerebrovascular accident respiratory disorders: interstitial lung disease, including pulmonary fibrosis. 
 pulmonary embolism skin reactions: stevens johnson syndrome, cutaneous vasculitis, erythema multiforme, new or worsening psoriasis (all sub-types including pustular and palmoplantar), alopecia. 
 vascular disorders: systemic vasculitis, deep vein thrombosis. 
  ",adalimumab
sign_symptom,flare,0.99773717," the most common adverse reaction with adalimumab was injection site reactions (erythema and/or itching, hemorrhage, pain or swelling). the most common adverse reactions leading to discontinuation of adalimumab in rheumatoid arthritis were clinical flare reaction, rash and pneumonia.  
 
 other adverse reactions of adalimumab includes- gastrointestinal disorders: diverticulitis, large bowel perforations including perforations associated with diverticulitis and appendiceal perforations associated with appendicitis, pancreatitis. 
 general disorders and administration site conditions: pyrexia. 
 hepato-biliary disorders: liver failure, hepatitis. 
 immune system disorders: sarcoidosis. 
 neoplasms benign, malignant and unspecified (including cysts and polyps): merkel cell carcinoma (neuroendocrine carcinoma of the skin). 
 nervous system disorders: demyelinating disorders (e.g., optic neuritis, guillain-barr syndrome). 
 cerebrovascular accident respiratory disorders: interstitial lung disease, including pulmonary fibrosis. 
 pulmonary embolism skin reactions: stevens johnson syndrome, cutaneous vasculitis, erythema multiforme, new or worsening psoriasis (all sub-types including pustular and palmoplantar), alopecia. 
 vascular disorders: systemic vasculitis, deep vein thrombosis. 
  ",adalimumab
sign_symptom,rash,0.999561," the most common adverse reaction with adalimumab was injection site reactions (erythema and/or itching, hemorrhage, pain or swelling). the most common adverse reactions leading to discontinuation of adalimumab in rheumatoid arthritis were clinical flare reaction, rash and pneumonia.  
 
 other adverse reactions of adalimumab includes- gastrointestinal disorders: diverticulitis, large bowel perforations including perforations associated with diverticulitis and appendiceal perforations associated with appendicitis, pancreatitis. 
 general disorders and administration site conditions: pyrexia. 
 hepato-biliary disorders: liver failure, hepatitis. 
 immune system disorders: sarcoidosis. 
 neoplasms benign, malignant and unspecified (including cysts and polyps): merkel cell carcinoma (neuroendocrine carcinoma of the skin). 
 nervous system disorders: demyelinating disorders (e.g., optic neuritis, guillain-barr syndrome). 
 cerebrovascular accident respiratory disorders: interstitial lung disease, including pulmonary fibrosis. 
 pulmonary embolism skin reactions: stevens johnson syndrome, cutaneous vasculitis, erythema multiforme, new or worsening psoriasis (all sub-types including pustular and palmoplantar), alopecia. 
 vascular disorders: systemic vasculitis, deep vein thrombosis. 
  ",adalimumab
disease_disorder,diverticuli,0.959265," the most common adverse reaction with adalimumab was injection site reactions (erythema and/or itching, hemorrhage, pain or swelling). the most common adverse reactions leading to discontinuation of adalimumab in rheumatoid arthritis were clinical flare reaction, rash and pneumonia.  
 
 other adverse reactions of adalimumab includes- gastrointestinal disorders: diverticulitis, large bowel perforations including perforations associated with diverticulitis and appendiceal perforations associated with appendicitis, pancreatitis. 
 general disorders and administration site conditions: pyrexia. 
 hepato-biliary disorders: liver failure, hepatitis. 
 immune system disorders: sarcoidosis. 
 neoplasms benign, malignant and unspecified (including cysts and polyps): merkel cell carcinoma (neuroendocrine carcinoma of the skin). 
 nervous system disorders: demyelinating disorders (e.g., optic neuritis, guillain-barr syndrome). 
 cerebrovascular accident respiratory disorders: interstitial lung disease, including pulmonary fibrosis. 
 pulmonary embolism skin reactions: stevens johnson syndrome, cutaneous vasculitis, erythema multiforme, new or worsening psoriasis (all sub-types including pustular and palmoplantar), alopecia. 
 vascular disorders: systemic vasculitis, deep vein thrombosis. 
  ",adalimumab
disease_disorder,diverticulitis,0.9997782," the most common adverse reaction with adalimumab was injection site reactions (erythema and/or itching, hemorrhage, pain or swelling). the most common adverse reactions leading to discontinuation of adalimumab in rheumatoid arthritis were clinical flare reaction, rash and pneumonia.  
 
 other adverse reactions of adalimumab includes- gastrointestinal disorders: diverticulitis, large bowel perforations including perforations associated with diverticulitis and appendiceal perforations associated with appendicitis, pancreatitis. 
 general disorders and administration site conditions: pyrexia. 
 hepato-biliary disorders: liver failure, hepatitis. 
 immune system disorders: sarcoidosis. 
 neoplasms benign, malignant and unspecified (including cysts and polyps): merkel cell carcinoma (neuroendocrine carcinoma of the skin). 
 nervous system disorders: demyelinating disorders (e.g., optic neuritis, guillain-barr syndrome). 
 cerebrovascular accident respiratory disorders: interstitial lung disease, including pulmonary fibrosis. 
 pulmonary embolism skin reactions: stevens johnson syndrome, cutaneous vasculitis, erythema multiforme, new or worsening psoriasis (all sub-types including pustular and palmoplantar), alopecia. 
 vascular disorders: systemic vasculitis, deep vein thrombosis. 
  ",adalimumab
disease_disorder,appendiceal perforations,0.96571696," the most common adverse reaction with adalimumab was injection site reactions (erythema and/or itching, hemorrhage, pain or swelling). the most common adverse reactions leading to discontinuation of adalimumab in rheumatoid arthritis were clinical flare reaction, rash and pneumonia.  
 
 other adverse reactions of adalimumab includes- gastrointestinal disorders: diverticulitis, large bowel perforations including perforations associated with diverticulitis and appendiceal perforations associated with appendicitis, pancreatitis. 
 general disorders and administration site conditions: pyrexia. 
 hepato-biliary disorders: liver failure, hepatitis. 
 immune system disorders: sarcoidosis. 
 neoplasms benign, malignant and unspecified (including cysts and polyps): merkel cell carcinoma (neuroendocrine carcinoma of the skin). 
 nervous system disorders: demyelinating disorders (e.g., optic neuritis, guillain-barr syndrome). 
 cerebrovascular accident respiratory disorders: interstitial lung disease, including pulmonary fibrosis. 
 pulmonary embolism skin reactions: stevens johnson syndrome, cutaneous vasculitis, erythema multiforme, new or worsening psoriasis (all sub-types including pustular and palmoplantar), alopecia. 
 vascular disorders: systemic vasculitis, deep vein thrombosis. 
  ",adalimumab
