generic_name,cases,head,singular_case
acarbose,"diabetes, diabetes mellitus",diabetes,"diabetes, diabetes mellitus"
acetazolamide,edema,edema,edema
acetazolamide,epilepsy,epilepsy,epilepsy
acetazolamide,glaucoma,glaucoma,glaucoma
acetazolamide,hydrocephalus,hydrocephalus,hydrocephalus
acetazolamide,mountain sickness / altitude sickness,temporary sickness,mountain sickness / altitude sickness
acetazolamide,pseudotumor cerebri,tumor,pseudotumor cerebri
acetazolamide,seizure prevention,seizure,seizure prevention
acetylcysteine,acetaminophen overdose,acetaminophen overdose,acetaminophen overdose
acetylcysteine,diagnostic bronchograms,diagnostic bronchograms,diagnostic bronchograms
acetylcysteine,expectoration,expectoration,expectoration
acitretin,psoriasis,psoriasis,psoriasis
adalimumab,ankylosing spondylitis,ankylosing spondylitis,ankylosing spondylitis
adalimumab,behcet's disease,behcet's disease,behcet's disease
adalimumab,crohn's disease,crohn's disease,crohn's disease
adalimumab,"crohn's disease, acute",crohn's disease,"crohn's disease, acute"
adalimumab,"crohn's disease, maintenance",crohn's disease,"crohn's disease, maintenance"
adalimumab,hidradenitis suppurativa,hidradenitis suppurativa,hidradenitis suppurativa
adalimumab,juvenile idiopathic arthritis,arthritis,juvenile idiopathic arthritis
adalimumab,plaque psoriasis,plaque,plaque psoriasis
adalimumab,psoriasis,psoriasis,psoriasis
adalimumab,psoriatic arthritis,arthritis,psoriatic arthritis
adalimumab,reiter's syndrome,reiter's syndrome,reiter's syndrome
adalimumab,rheumatoid arthritis,arthritis,rheumatoid arthritis
adalimumab,spondyloarthritis,arthritis,spondyloarthritis
adalimumab,ulcerative colitis,ulcer,ulcerative colitis
adapalene,acne,acne,acne
adenosine,supraventricular tachycardia,supraventricular tachycardia,supraventricular tachycardia
aflibercept,diabetic macular edema,macular issue,diabetic macular edema
aflibercept,macular degeneration,macular issue,macular degeneration
aflibercept,macular edema,macular issue,macular edema
albendazole,ascariasis,ascariasis,ascariasis
albendazole,cutaneous larva migrans,cutaneous larva migrans,cutaneous larva migrans
albendazole,pinworm infection (enterobius vermicularis),infection,pinworm infection (enterobius vermicularis)
alcaftadine,"conjunctivitis, allergic",allergic,"conjunctivitis, allergic"
allopurinol,gout,arthritis,gout
allopurinol,hyperuricemia secondary to chemotherapy,arthritis,hyperuricemia secondary to chemotherapy
