generic_name,cases
acarbose,"diabetes, type 2"
acetazolamide,edema
acetazolamide,epilepsy
acetazolamide,glaucoma
acetazolamide,hydrocephalus
acetazolamide,mountain sickness / altitude sickness
acetazolamide,pseudotumor cerebri
acetazolamide,seizure prevention
acetylcysteine,acetaminophen overdose
acetylcysteine,diagnostic bronchograms
acetylcysteine,expectoration
acitretin,psoriasis
adalimumab,ankylosing spondylitis
adalimumab,behcet's disease
adalimumab,crohn's disease
adalimumab,"crohn's disease, acute"
adalimumab,"crohn's disease, maintenance"
adalimumab,hidradenitis suppurativa
adalimumab,juvenile idiopathic arthritis
adalimumab,not listed / othe
adalimumab,plaque psoriasis
adalimumab,psoriasis
adalimumab,psoriatic arthritis
adalimumab,reiter's syndrome
adalimumab,rheumatoid arthritis
adalimumab,spondyloarthritis
adalimumab,ulcerative colitis
adapalene,acne
adenosine,not listed / othe
adenosine,supraventricular tachycardia
aflibercept,diabetic macular edema
aflibercept,macular degeneration
aflibercept,macular edema
albendazole,ascariasis
albendazole,cutaneous larva migrans
albendazole,pinworm infection (enterobius vermicularis)
alcaftadine,"conjunctivitis, allergic"
allopurinol,gout
allopurinol,hyperuricemia secondary to chemotherapy
allopurinol,urinary tract stones
almotriptan,migraine
alprazolam,anxiety
alprazolam,depression
alprazolam,dysautonomia
alprazolam,not listed / othe
alprazolam,panic disorde
alprazolam,tinnitus
ambrisentan,pulmonary hypertension
amikacin,bacterial urinary tract infection
amikacin,diverticulitis of gastrointestinal tract
amikacin,not listed / othe
amikacin,urinary tract infection
ampicillin sodium,acute bacterial sinusitis
ampicillin sodium,bacterial urinary tract infection
anastrozole,breast cance
anastrozole,"breast cancer, metastatic"
anastrozole,endometrial cance
apixaban,deep vein thrombosis
apixaban,"deep vein thrombosis, prophylaxis"
apixaban,prevention of thromboembolism in atrial fibrillation
apixaban,pulmonary embolism
apixaban,thromboembolic stroke prophylaxis
apremilast,not listed / othe
apremilast,plaque psoriasis
apremilast,psoriatic arthritis
aprepitant,"nausea/vomiting, chemotherapy induced"
aprepitant,"nausea/vomiting, postoperative"
aripiprazole,agitated state
aripiprazole,autism
aripiprazole,bipolar disorde
aripiprazole,borderline personality disorde
aripiprazole,depression
aripiprazole,infantile autism
aripiprazole,major depressive disorde
aripiprazole,not listed / othe
aripiprazole,obsessive compulsive disorde
aripiprazole,post traumatic stress disorde
aripiprazole,schizoaffective disorde
aripiprazole,schizophrenia
aripiprazole,tourette's syndrome
armodafinil,adhd
armodafinil,bipolar disorde
armodafinil,chronic fatigue syndrome
armodafinil,depression
armodafinil,hypersomnia
armodafinil,ibromyalgia
armodafinil,narcolepsy
armodafinil,not listed / othe
armodafinil,obstructive sleep apnea/hypopnea syndrome
armodafinil,shift work sleep disorde
armodafinil,sleepiness due to obstructive sleep apnea
aspirin,angina
aspirin,back pain
aspirin,eve
aspirin,fever
aspirin,heart attack
aspirin,osteoarthritis
aspirin,pain
aspirin,prevention of cerebrovascular accident
aspirin,rheumatoid arthritis
aspirin,sciatica
aspirin,thromboembolic stroke prophylaxis
aspirin,transient ischemic attack
atenolol,alcohol withdrawal
atenolol,angina
atenolol,anxiety
atenolol,high blood pressure
atenolol,hypertension
atenolol,migraine prevention
atenolol,mitral valve prolapse
atenolol,not listed / othe
atenolol,supraventricular tachycardia
