generic_name,cases,rating
valsartan,left ventricular dysfunction,0.8888888888888888
levonorgestrel,emergency contraception,0.0
aripiprazole,bipolar disorde,1.0
topiramate,migraine prevention,0.8888888888888888
liraglutide,obesity,0.8888888888888888
lamotrigine,bipolar disorde,1.0
nilotinib,chronic myelogenous leukemia,1.0
etanercept,rheumatoid arthritis,1.0
tioconazole,vaginal yeast infection,0.0
tioconazole,vaginal yeast infection,0.0
fluconazole,vaginal yeast infection,0.7777777777777778
clonazepam,panic disorde,0.8888888888888888
dulaglutide,"diabetes, type 2",1.0
aripiprazole,schizophrenia,1.0
oxcarbazepine,trigeminal neuralgia,0.6666666666666666
levonorgestrel,birth control,0.0
estradiol,atrophic vaginitis,0.8888888888888888
alprazolam,tinnitus,1.0
aripiprazole,depression,0.3333333333333333
spironolactone,acne,0.8888888888888888
mirtazapine,anxiety,0.7777777777777778
ropinirole,restless legs syndrome,1.0
levonorgestrel,birth control,1.0
cephalexin,skin or soft tissue infection,0.0
naltrexone,opiate dependence,0.5555555555555556
olanzapine,bipolar disorde,0.8888888888888888
levonorgestrel,birth control,0.1111111111111111
desvenlafaxine,depression,1.0
levonorgestrel,birth control,0.2222222222222222
dulaglutide,"diabetes, type 2",0.8888888888888888
loratadine,allergic rhinitis,1.0
propofol,anesthesia,1.0
insulin degludec,"diabetes, type 1",0.0
levonorgestrel,birth control,1.0
liraglutide,"diabetes, type 2",0.4444444444444444
lisinopril,high blood pressure,1.0
empagliflozin,"diabetes, type 2",1.0
alprazolam,anxiety,1.0
gemfibrozil,high cholesterol,0.8888888888888888
tioconazole,vaginal yeast infection,1.0
methimazole,hyperthyroidism,0.3333333333333333
lubiprostone,irritable bowel syndrome,0.0
temozolomide,anaplastic oligodendroglioma,1.0
nabumetone,rheumatoid arthritis,0.3333333333333333
levonorgestrel,emergency contraception,0.8888888888888888
meloxicam,osteoarthritis,1.0
gabapentin,hot flashes,0.7777777777777778
clindamycin,bacterial infection,1.0
tioconazole,vaginal yeast infection,0.0
liraglutide,"diabetes, type 2",1.0
gabapentin,pain,0.5555555555555556
liraglutide,"diabetes, type 2",1.0
desvenlafaxine,depression,0.7777777777777778
carbamazepine,epilepsy,0.7777777777777778
fluconazole,vaginal yeast infection,1.0
propofol,anesthesia,1.0
pimecrolimus,eczema,0.4444444444444444
levonorgestrel,birth control,0.3333333333333333
pramipexole,restless legs syndrome,0.8888888888888888
nitrofurantoin,urinary tract infection,1.0
metronidazole,dental abscess,0.4444444444444444
ziprasidone,bipolar disorde,0.0
celecoxib,pain,1.0
anastrozole,breast cance,0.5555555555555556
mirtazapine,anxiety,1.0
alprazolam,anxiety,1.0
levonorgestrel,emergency contraception,1.0
lansoprazole,barrett's esophagus,1.0
liraglutide,obesity,0.6666666666666666
ciprofloxacin,diverticulitis,0.7777777777777778
terconazole,vaginal yeast infection,0.0
levonorgestrel,birth control,1.0
dulaglutide,"diabetes, type 2",0.7777777777777778
mirtazapine,anxiety,1.0
levonorgestrel,birth control,0.6666666666666666
topiramate,ibromyalgia,0.0
silodosin,benign prostatic hyperplasia,0.0
naltrexone,opiate dependence,1.0
lamotrigine,bipolar disorde,0.7777777777777778
nitrofurantoin,urinary tract infection,0.6666666666666666
nitrofurantoin,urinary tract infection,0.8888888888888888
mirtazapine,insomnia,0.7777777777777778
clonazepam,anxiety,1.0
aripiprazole,autism,1.0
clarithromycin,otitis media,1.0
levonorgestrel,emergency contraception,0.8888888888888888
ramelteon,insomnia,0.0
clindamycin,surgical prophylaxis,0.0
infliximab,psoriatic arthritis,1.0
levonorgestrel,emergency contraception,1.0
levonorgestrel,emergency contraception,1.0
levonorgestrel,abnormal uterine bleeding,0.8888888888888888
alprazolam,anxiety,1.0
diazepam,anxiety,0.8888888888888888
bisacodyl,constipation,0.5555555555555556
suvorexant,insomnia,0.0
clonazepam,panic disorde,0.6666666666666666
liraglutide,obesity,1.0
gabapentin,anxiety,1.0
ibuprofen,pain,0.5555555555555556
sumatriptan,migraine,0.0
celecoxib,pain,0.8888888888888888
clonazepam,night terrors,0.4444444444444444
levonorgestrel,abnormal uterine bleeding,0.7777777777777778
carbamazepine,epilepsy,0.8888888888888888
bisacodyl,constipation,0.4444444444444444
metronidazole,bacterial infection,0.0
levonorgestrel,emergency contraception,1.0
metronidazole,clostridial infection,0.5555555555555556
dutasteride,benign prostatic hyperplasia,0.5555555555555556
propofol,anesthesia,1.0
levonorgestrel,emergency contraception,0.8888888888888888
sitagliptin,"diabetes, type 2",1.0
desvenlafaxine,depression,0.2222222222222222
retapamulin,impetig,0.7777777777777778
levetiracetam,epilepsy,0.6666666666666666
baclofen,alcohol withdrawal,1.0
lisinopril,high blood pressure,0.6666666666666666
cefdinir,sinusitis,0.0
lamotrigine,bipolar disorde,1.0
olanzapine,schizoaffective disorde,0.7777777777777778
levonorgestrel,birth control,0.8888888888888888
clindamycin,not listed / othe,0.7777777777777778
estradiol,atrophic vaginitis,0.2222222222222222
zolmitriptan,migraine,0.7777777777777778
levonorgestrel,birth control,0.4444444444444444
clindamycin,bacterial infection,0.5555555555555556
levonorgestrel,birth control,0.5555555555555556
empagliflozin,"diabetes, type 2",0.8888888888888888
clonazepam,anxiety,0.8888888888888888
nortriptyline,irritable bowel syndrome,1.0
pregabalin,reflex sympathetic dystrophy syndrome,0.8888888888888888
levonorgestrel,emergency contraception,1.0
sucralfate,gerd,0.8888888888888888
alprazolam,panic disorde,1.0
meloxicam,ibromyalgia,0.6666666666666666
bisacodyl,bowel preparation,0.5555555555555556
lubiprostone,irritable bowel syndrome,0.4444444444444444
valacyclovir,"herpes simplex, suppression",0.8888888888888888
orlistat,obesity,0.0
liraglutide,obesity,1.0
lamotrigine,bipolar disorde,1.0
clonazepam,panic disorde,1.0
gabapentin,migraine,0.8888888888888888
desvenlafaxine,depression,0.0
metronidazole,bacterial vaginitis,0.8888888888888888
aripiprazole,bipolar disorde,0.6666666666666666
levonorgestrel,emergency contraception,0.0
lorazepam,insomnia,0.7777777777777778
clonazepam,insomnia,0.0
clarithromycin,bronchitis,1.0
hydrochlorothiazide,high blood pressure,0.5555555555555556
lorazepam,anxiety,1.0
liraglutide,"diabetes, type 2",0.0
aripiprazole,depression,0.0
gabapentin,anxiety,0.7777777777777778
flurbiprofen,period pain,0.7777777777777778
levetiracetam,seizures,0.5555555555555556
methotrexate,psoriasis,0.8888888888888888
cephalexin,bacterial infection,0.4444444444444444
carbamazepine,bipolar disorde,0.5555555555555556
lorazepam,insomnia,0.7777777777777778
metronidazole,bacterial vaginitis,1.0
meloxicam,inflammatory conditions,0.3333333333333333
gabapentin,pain,1.0
febuxostat,gout,1.0
clindamycin,acne,1.0
eluxadoline,irritable bowel syndrome,0.0
ondansetron,nausea/vomiting,0.8888888888888888
paliperidone,schizophrenia,0.4444444444444444
lamotrigine,bipolar disorde,1.0
tofacitinib,rheumatoid arthritis,0.3333333333333333
pregabalin,pain,1.0
cephalexin,skin or soft tissue infection,1.0
mirtazapine,insomnia,0.7777777777777778
dapsone,acne,1.0
paliperidone,schizophrenia,0.1111111111111111
metronidazole,bacterial infection,1.0
etodolac,osteoarthritis,0.0
metronidazole,bacterial infection,1.0
levetiracetam,seizures,0.4444444444444444
lisinopril,high blood pressure,0.3333333333333333
olanzapine,bipolar disorde,0.7777777777777778
magnesium hydroxide,constipation,1.0
aripiprazole,schizophrenia,1.0
levonorgestrel,birth control,0.5555555555555556
mirtazapine,anxiety,0.0
alprazolam,anxiety,1.0
desvenlafaxine,depression,0.7777777777777778
dexlansoprazole,gerd,1.0
desvenlafaxine,depression,0.6666666666666666
brexpiprazole,major depressive disorde,0.8888888888888888
cephalexin,skin or soft tissue infection,0.8888888888888888
desvenlafaxine,depression,0.0
tadalafil,erectile dysfunction,0.8888888888888888
aripiprazole,bipolar disorde,0.0
gabapentin,anxiety,1.0
clonazepam,panic disorde,0.8888888888888888
gabapentin,trigeminal neuralgia,1.0
topiramate,migraine prevention,0.8888888888888888
lorazepam,anxiety,0.0
colchicine,"gout, acute",0.0
levonorgestrel,emergency contraception,1.0
omeprazole,erosive esophagitis,0.6666666666666666
aripiprazole,depression,1.0
secukinumab,plaque psoriasis,1.0
nifedipine,raynaud's syndrome,0.7777777777777778
clonazepam,anxiety,1.0
methocarbamol,muscle spasm,0.3333333333333333
