Entity Group,Word,Score,Generic Name,Use Case
Medication,adalimumab,0.9557141,adalimumab,not been established
Medication,acyclovir + hydrocortisone amp,0.98882717,acyclovir + hydrocortisone,amp
Administration,topical,0.8767073,acyclovir (topical),immunocompetent adults and adolescents 12 years of age and older
Biological_structure,adults,0.19662438,acyclovir (topical),immunocompetent adults and adolescents 12 years of age and older
Sex,adolescents,0.3878152,acyclovir (topical),immunocompetent adults and adolescents 12 years of age and older
Date,years of age and older,0.8746586,acyclovir (topical),immunocompetent adults and adolescents 12 years of age and older
Administration,oral,0.99889743,acyclovir (oral),immunocompromised patients
Disease_disorder,simplex keratitis,0.93262136,acyclovir (ophthalmic),herpes simplex keratitis
Administration,injection,0.98418206,acyclovir (injection),immunocompromised patients
Disease_disorder,activated charcoal poisoning,0.99160814,activated charcoal,"poisoning due to foods, heavy meals &amp"
History,heavy,0.34594855,activated charcoal,"poisoning due to foods, heavy meals &amp"
Activity,meals,0.42108348,activated charcoal,"poisoning due to foods, heavy meals &amp"
Medication,formoterol fumarate,0.99904746,aclidinium bromide + formoterol fumarate,maintenance treatment of patients with chronic obstructive pulmonary disease
Disease_disorder,chronic obstructive pulmonary disease,0.9997614,aclidinium bromide + formoterol fumarate,maintenance treatment of patients with chronic obstructive pulmonary disease
Medication,acitretin,0.97958004,acitretin,severe extensive psoriasis
Severity,severe,0.99977964,acitretin,severe extensive psoriasis
Severity,extensive,0.9995347,acitretin,severe extensive psoriasis
Diagnostic_procedure,acetylcysteine,0.994164,acetylcysteine,certain clinical condition
Lab_value,certain,0.79241985,acetylcysteine,certain clinical condition
Sign_symptom,clinical,0.6000981,acetylcysteine,certain clinical condition
Diagnostic_procedure,condition,0.98508275,acetylcysteine,certain clinical condition
Medication,acetazolamide,0.95215255,acetazolamide,"open angle glaucoma, secondary glaucoma"
Detailed_description,open angle,0.9997064,acetazolamide,"open angle glaucoma, secondary glaucoma"
Detailed_description,secondary,0.9947732,acetazolamide,"open angle glaucoma, secondary glaucoma"
Biological_structure,glaucoma,0.93369246,acetazolamide,"open angle glaucoma, secondary glaucoma"
Medication,acetate,0.8485595,acetate formulation [hemodialysis solution],haemodialysis
Disease_disorder,joint disorders,0.99585986,acemetacin,joint disorders
Disease_disorder,rheumatoid arthritis,0.8770725,aceclofenac,"osteoarthritis, rheumatoid arthritis"
Biological_structure,gall,0.90857536,"bandish [oak galls, tannic acid]",epistaxis menorrhagia blood dysentery
Biological_structure,menorrhagia,0.76007926,"bandish [oak galls, tannic acid]",epistaxis menorrhagia blood dysentery
Biological_structure,blood,0.99951565,"bandish [oak galls, tannic acid]",epistaxis menorrhagia blood dysentery
Sign_symptom,dysentery,0.9270135,"bandish [oak galls, tannic acid]",epistaxis menorrhagia blood dysentery
Nonbiological_location,bala,0.22538742,balarista,sportsmen and geriatric patients
Occupation,sports,0.463019,balarista,sportsmen and geriatric patients
Subject,geriatric patients,0.6214898,balarista,sportsmen and geriatric patients
Medication,bacopa,0.8851941,bacopa extract [natural memory enhancer],children
Detailed_description,natural memory enhance,0.6940465,bacopa extract [natural memory enhancer],children
Diagnostic_procedure,aushokari,0.3666482,aushokarist [saraca indica],indicated in- dysfunctional uterine bleeding
Biological_structure,sara,0.8681381,aushokarist [saraca indica],indicated in- dysfunctional uterine bleeding
Detailed_description,dysfunction,0.64739877,aushokarist [saraca indica],indicated in- dysfunctional uterine bleeding
Sign_symptom,bleeding,0.9999553,aushokarist [saraca indica],indicated in- dysfunctional uterine bleeding
Sign_symptom,nervous debility,0.9983592,aswagandharista,nervous debility
Disease_disorder,ashok,0.4990855,ashokarista,premenstrual syndrome
Therapeutic_procedure,prevention,0.7077233,arjunarista,prevention &amp
Medication,aravindasav,0.72403884,aravindasav,malnutrition indigestion immune deficiency dysentery worm
Disease_disorder,malnutrition,0.99222505,aravindasav,malnutrition indigestion immune deficiency dysentery worm
Disease_disorder,immune deficiency,0.99583757,aravindasav,malnutrition indigestion immune deficiency dysentery worm
Sign_symptom,ulcer,0.9689754,antacid [unani],peptic ulcer
Detailed_description,indian,0.23231626,aniseed + indian dill + black cardamom + peppermint,digestive disorders
Color,black,0.57483107,aniseed + indian dill + black cardamom + peppermint,digestive disorders
Medication,card,0.94765466,aniseed + indian dill + black cardamom + peppermint,digestive disorders
Medication,pepper,0.54610705,aniseed + indian dill + black cardamom + peppermint,digestive disorders
Disease_disorder,digestive disorders,0.9997422,aniseed + indian dill + black cardamom + peppermint,digestive disorders
Disease_disorder,andrographis paniculata,0.99433213,andrographis paniculata,viral fever flu common cold sinusitis upper respiratory tract infection viral hepatitis
Disease_disorder,viral fever,0.99669313,andrographis paniculata,viral fever flu common cold sinusitis upper respiratory tract infection viral hepatitis
Detailed_description,common,0.72494096,andrographis paniculata,viral fever flu common cold sinusitis upper respiratory tract infection viral hepatitis
Disease_disorder,cold,0.65060097,andrographis paniculata,viral fever flu common cold sinusitis upper respiratory tract infection viral hepatitis
Disease_disorder,sinusitis,0.9516066,andrographis paniculata,viral fever flu common cold sinusitis upper respiratory tract infection viral hepatitis
Biological_structure,upper respiratory tract,0.999878,andrographis paniculata,viral fever flu common cold sinusitis upper respiratory tract infection viral hepatitis
Disease_disorder,infection,0.99960226,andrographis paniculata,viral fever flu common cold sinusitis upper respiratory tract infection viral hepatitis
Disease_disorder,viral hepatitis,0.99973005,andrographis paniculata,viral fever flu common cold sinusitis upper respiratory tract infection viral hepatitis
Diagnostic_procedure,ambergris,0.91288495,ambergris + salep + galangal,antioxidant
Medication,salep + galangal antioxidant,0.81337774,ambergris + salep + galangal,antioxidant
Lab_value,continuous,0.8632186,ambar momiyaee,continuous
Lab_value,increase,0.99981135,amalaki rasayana,increase body immunity
Diagnostic_procedure,body immunity,0.99993145,amalaki rasayana,increase body immunity
Diagnostic_procedure,aloe indica,0.78919804,aloe indica+ hyoscyamus niger + piper nigrum,acid reflux
Detailed_description,niger + piper,0.962437,aloe indica+ hyoscyamus niger + piper nigrum,acid reflux
Diagnostic_procedure,acid,0.88566124,aloe indica+ hyoscyamus niger + piper nigrum,acid reflux
Sign_symptom,hyper,0.99986756,allopurinol,hyperuricosuria
Medication,cepa,0.9330313,allium cepa + heparin + allantoin,scar treatment
Diagnostic_procedure,allan,0.9463901,allium cepa + heparin + allantoin,scar treatment
Therapeutic_procedure,scar treatment,0.9983431,allium cepa + heparin + allantoin,scar treatment
Medication,alfuzosin hydrochloride,0.887121,alfuzosin hydrochloride,treatment of the signs and symptoms of benign prostatic hyperplasia
Detailed_description,benign,0.99346864,alfuzosin hydrochloride,treatment of the signs and symptoms of benign prostatic hyperplasia
Sign_symptom,hyperplasia,0.84917355,alfuzosin hydrochloride,treatment of the signs and symptoms of benign prostatic hyperplasia
Medication,alfacalcidol,0.99596035,alfacalcidol,certain illnesses.
Medication,alendronic acid +,0.81997246,alendronic acid + vitamin d3,amp
Diagnostic_procedure,vitamin d3 amp,0.9026667,alendronic acid + vitamin d3,amp
Medication,alendronic acid,0.98697644,alendronic acid,men and women
Sex,women,0.92998725,alendronic acid,men and women
Medication,alectinib,0.9328324,alectinib,patients
Administration,topical,0.9959313,alcaftadine,topical ophthalmic use
Diagnostic_procedure,albumin,0.965043,albumin (human),hypoproteinemia
Detailed_description,single,0.9997174,albendazole,single and mixed infestations
Detailed_description,mixed infestations,0.99983335,albendazole,single and mixed infestations
Disease_disorder,major depressive disorder,0.92785543,agomelatine,major depressive disorder especially in non-responders
Subject,- responders,0.74548626,agomelatine,major depressive disorder especially in non-responders
Medication,aflibe,0.8160825,aflibercept,metastatic colorectal cancer
Detailed_description,metastatic,0.8155056,aflibercept,metastatic colorectal cancer
Disease_disorder,colorectal cancer,0.9996906,aflibercept,metastatic colorectal cancer
Medication,afatinib,0.9316488,afatinib dimaleate,limitation of use
Medication,dimaleate,0.98317933,afatinib dimaleate,limitation of use
Other_event,limitation,0.40592614,afatinib dimaleate,limitation of use
Medication,tetanus vaccine,0.8815927,adsorbed tetanus vaccine,not to be used for the treatment of tetanus infection
Disease_disorder,tetanus infection,0.9976341,adsorbed tetanus vaccine,not to be used for the treatment of tetanus infection
Diagnostic_procedure,adrenaline,0.9999006,adrenaline,if a person begins exhibiting severe allergic reactions
