Entity Group,Word,Score,Generic Name,Use Case
disease_disorder,simplex keratitis,0.93262136,acyclovir (ophthalmic),herpes simplex keratitis
disease_disorder,activated charcoal poisoning,0.99160814,activated charcoal,"poisoning due to foods, heavy meals &amp"
disease_disorder,chronic obstructive pulmonary disease,0.9997614,aclidinium bromide + formoterol fumarate,maintenance treatment of patients with chronic obstructive pulmonary disease
sign_symptom,clinical,0.6000981,acetylcysteine,certain clinical condition
disease_disorder,joint disorders,0.99585986,acemetacin,joint disorders
disease_disorder,rheumatoid arthritis,0.8770725,aceclofenac,"osteoarthritis, rheumatoid arthritis"
sign_symptom,dysentery,0.9270135,"bandish [oak galls, tannic acid]",epistaxis menorrhagia blood dysentery
sign_symptom,bleeding,0.9999553,aushokarist [saraca indica],indicated in- dysfunctional uterine bleeding
sign_symptom,nervous debility,0.9983592,aswagandharista,nervous debility
disease_disorder,ashok,0.4990855,ashokarista,premenstrual syndrome
disease_disorder,malnutrition,0.99222505,aravindasav,malnutrition indigestion immune deficiency dysentery worm
disease_disorder,immune deficiency,0.99583757,aravindasav,malnutrition indigestion immune deficiency dysentery worm
sign_symptom,ulcer,0.9689754,antacid [unani],peptic ulcer
disease_disorder,digestive disorders,0.9997422,aniseed + indian dill + black cardamom + peppermint,digestive disorders
disease_disorder,andrographis paniculata,0.99433213,andrographis paniculata,viral fever flu common cold sinusitis upper respiratory tract infection viral hepatitis
disease_disorder,viral fever,0.99669313,andrographis paniculata,viral fever flu common cold sinusitis upper respiratory tract infection viral hepatitis
disease_disorder,cold,0.65060097,andrographis paniculata,viral fever flu common cold sinusitis upper respiratory tract infection viral hepatitis
disease_disorder,sinusitis,0.9516066,andrographis paniculata,viral fever flu common cold sinusitis upper respiratory tract infection viral hepatitis
disease_disorder,infection,0.99960226,andrographis paniculata,viral fever flu common cold sinusitis upper respiratory tract infection viral hepatitis
disease_disorder,viral hepatitis,0.99973005,andrographis paniculata,viral fever flu common cold sinusitis upper respiratory tract infection viral hepatitis
sign_symptom,hyper,0.99986756,allopurinol,hyperuricosuria
sign_symptom,hyperplasia,0.84917355,alfuzosin hydrochloride,treatment of the signs and symptoms of benign prostatic hyperplasia
disease_disorder,major depressive disorder,0.92785543,agomelatine,major depressive disorder especially in non-responders
disease_disorder,colorectal cancer,0.9996906,aflibercept,metastatic colorectal cancer
disease_disorder,tetanus infection,0.9976341,adsorbed tetanus vaccine,not to be used for the treatment of tetanus infection
sign_symptom,allergic reactions,0.99987024,adrenaline,if a person begins exhibiting severe allergic reactions
sign_symptom,spermatorrhoe,0.48463264,dasamularista,spermatorrhoea
disease_disorder,arthritis,0.9990914,curcuminoids [curcuma longa],rheumatoid arthritis
disease_disorder,infection,0.99985015,cranberry [vaccinium macrocarpon],urinary tract infection
disease_disorder,mitochondrial disorders,0.99674,coenzyme q10 [ubidecarenone],mitochondrial disorders
sign_symptom,worms,0.9643743,chirata [swertia chirata],long term uses of chiratacapsule destroy intestinal worms
sign_symptom,flatulence,0.99987435,chebulic myrobalan + barberry,constipation flatulence
disease_disorder,papaya,0.28722185,carica papaya leaf extract,no specific data available
sign_symptom,tooth,0.9998211,camphor + thymol + menthol + eucalyptus oil,"headache, toothache and burns"
sign_symptom,burns,0.99988055,camphor + thymol + menthol + eucalyptus oil,"headache, toothache and burns"
disease_disorder,hepatitis,0.5280903,buzuri,hepatitis jaundice
disease_disorder,rasayan memory deficiency,0.97974956,brahmi rasayan,memory deficiency impaired speech rough &amp
sign_symptom,impaired,0.6357791,brahmi rasayan,memory deficiency impaired speech rough &amp
disease_disorder,septicemia,0.6725695,amikacin,bacterial septicemia
sign_symptom,cough,0.9949721,ambroxol hydrochloride,productive cough
disease_disorder,pulmonary arterial hypertension,0.99868613,ambrisentan,pulmonary arterial hypertension
disease_disorder,parkinsonism,0.82489824,amantadine hydrochloride,parkinsonism
disease_disorder,citrate irritable bowel syndrome,0.8964221,alverine citrate,irritable bowel syndrome
sign_symptom,alter,0.63822496,aluminium chloride + melaleuca alternifolia oil + geothermal water,hyperhidrosis
sign_symptom,hyper,0.9995845,aluminium chloride + melaleuca alternifolia oil + geothermal water,hyperhidrosis
disease_disorder,embolism,0.9735913,alteplase,pulmonary embolism
disease_disorder,ginkgo biloba,0.957231,ginkgo biloba,sexual dysfunction associated with ssri use
disease_disorder,sexual dysfunction,0.9768601,ginkgo biloba,sexual dysfunction associated with ssri use
disease_disorder,diabetes,0.9730953,garlitab,in- diabetes rheumatoid arthritis gout respiratory tract infection
disease_disorder,rheumatoid arthritis,0.9952963,garlitab,in- diabetes rheumatoid arthritis gout respiratory tract infection
disease_disorder,infection,0.99911577,garlitab,in- diabetes rheumatoid arthritis gout respiratory tract infection
sign_symptom,hypertension,0.9997752,garlic oil,"hyperlipidemia, atherosclerosis, mild hypertension"
sign_symptom,hyper,0.99967146,flaxseed oil [linum usitatissimum],"hyperlipidemia, constipation"
sign_symptom,consti,0.941056,flaxseed oil [linum usitatissimum],"hyperlipidemia, constipation"
sign_symptom,hyper,0.9984363,"fishar [snake root, potassium, magnesium]",hypertension
sign_symptom,ulcers,0.8410942,fermented soy [lactobacillus delbrueckii],occasional heartburn gastric and duodenal ulcers
disease_disorder,premenstrual syndrome,0.9936517,evening primrose oil,premenstrual syndrome symptoms
sign_symptom,symptoms,0.99971753,evening primrose oil,premenstrual syndrome symptoms
sign_symptom,sperm,0.6932687,espand,spermatorrhoea
disease_disorder,officinalis,0.7700002,emblica officinalis + piper longum,"tuberculosis of lungs, asthma and bronchitis"
disease_disorder,tuberculosis,0.9966738,emblica officinalis + piper longum,"tuberculosis of lungs, asthma and bronchitis"
disease_disorder,asthma,0.97834456,emblica officinalis + piper longum,"tuberculosis of lungs, asthma and bronchitis"
disease_disorder,bronchitis,0.9576125,emblica officinalis + piper longum,"tuberculosis of lungs, asthma and bronchitis"
sign_symptom,dandr,0.54252064,emblic myrobalan + sesame,dandruff insomnia
disease_disorder,indigestion,0.984017,emblic myrobalan + chebulic + belleric,constipation anorexia indigestion diabetes
disease_disorder,diabetes,0.9989666,emblic myrobalan + chebulic + belleric,constipation anorexia indigestion diabetes
sign_symptom,cough,0.99961406,ejaz,all types of cough
disease_disorder,echinacea,0.79897064,echinacea,"common cold, cough, bronchitis and other upper respiratory tract infections"
disease_disorder,infections,0.99939215,echinacea,"common cold, cough, bronchitis and other upper respiratory tract infections"
sign_symptom,hypertension,0.99316263,amlodipine besilate + valsartan,not indicated for the initial therapy of hypertension
sign_symptom,hypertension,0.9971272,amlodipine besilate + benazepril hydrochloride,not indicated for the initial therapy of hypertension
disease_disorder,hypertension,0.98969436,amlodipine besilate,essential hypertension
sign_symptom,depression,0.9995111,amitriptyline hydrochloride + chlordiazepoxide,moderate to severe depression associated with moderate to severe anxiety
sign_symptom,anxiety,0.99970955,amitriptyline hydrochloride + chlordiazepoxide,moderate to severe depression associated with moderate to severe anxiety
sign_symptom,weakness,0.9999323,kabid nawshadri,weakness of stomach and liver hepatitis
disease_disorder,hepatitis,0.9998857,kabid nawshadri,weakness of stomach and liver hepatitis
disease_disorder,rheumatoid arthritis,0.88053083,jogaraj guggulu,rheumatoid arthritis
sign_symptom,digest,0.94557816,jirakaddarista,digestive disturbances
disease_disorder,anaemia,0.99489665,jinsin,anaemia immunodeficiency
disease_disorder,immunodeficiency,0.990195,jinsin,anaemia immunodeficiency
disease_disorder,reactive arthritis,0.90609115,jeerakaddarishta carminative,reactive arthritis
sign_symptom,dyspepsia,0.8990549,jamani arka,"indigestion, dyspepsia"
sign_symptom,cold,0.9984622,"jadwar [denudatum, saffron, henbane]",chronic cold catarrh &amp; cough
sign_symptom,cough,0.9998859,"jadwar [denudatum, saffron, henbane]",chronic cold catarrh &amp; cough
disease_disorder,peptic,0.7560996,hingastak churna,"hyperacidity, peptic ulcer disease"
disease_disorder,ulcer disease,0.99827105,hingastak churna,"hyperacidity, peptic ulcer disease"
sign_symptom,anaemia,0.95798546,herbal multivitamin,anaemia of pregnancy
sign_symptom,hyperacidity,0.9959131,herbal gastric preparation,hyperacidity
sign_symptom,cough,0.9231419,herbal cough syrup [vasakarista],"asthma, smokers cough and throat hoarseness"
sign_symptom,smokers,0.8133186,herbal cough syrup [vasakarista],"asthma, smokers cough and throat hoarseness"
sign_symptom,cough,0.9996301,herbal cough syrup [vasakarista],"asthma, smokers cough and throat hoarseness"
sign_symptom,hoarseness,0.9995187,herbal cough syrup [vasakarista],"asthma, smokers cough and throat hoarseness"
disease_disorder,malaria,0.99982566,artemether + lumefantrine,malaria infections
disease_disorder,infections,0.9998273,artemether + lumefantrine,malaria infections
disease_disorder,malaria,0.9989718,artemether,malaria
disease_disorder,schizophrenia,0.9991634,aripiprazole,schizophrenia schizoaffective disorder
disease_disorder,schizoaffective disorder,0.99941635,aripiprazole,schizophrenia schizoaffective disorder
sign_symptom,nausea,0.99996245,aprepitant,prevention of postoperative nausea and vomiting
sign_symptom,vomiting,0.9999571,aprepitant,prevention of postoperative nausea and vomiting
sign_symptom,apremi,0.9366192,apremilast,moderate to severe plaque psoriasis
sign_symptom,plaque,0.86113626,apremilast,moderate to severe plaque psoriasis
disease_disorder,atrial fibrillation,0.99986184,apixaban,in patients with nonvalvular atrial fibrillation
disease_disorder,anti,0.5855269,antihemophilic factor [factor viii],haemophilia a
sign_symptom,anemia,0.97116166,nabayas louha herbal haematinic,iron deficiency anemia
sign_symptom,oligomenorrhea,0.8984006,monjistha [rubia cordifolia],"dysmenorrhoea, oligomenorrhea"
sign_symptom,pain,0.99984026,menthol + camphor + methyl salicylate + oleoresin capsicum,"muscle pain sprains, strains and sports injuries"
disease_disorder,strains,0.63655674,menthol + camphor + methyl salicylate + oleoresin capsicum,"muscle pain sprains, strains and sports injuries"
sign_symptom,general de,0.9137813,marwareedi,general debility nervous debility
sign_symptom,nervous debility,0.94749326,marwareedi,general debility nervous debility
sign_symptom,in - scabies,0.8836004,marham kharish,indicated in- scabies itching pustular piles
sign_symptom,pustular piles,0.9047929,marham kharish,indicated in- scabies itching pustular piles
disease_disorder,malus sylvestris,0.99445075,malus sylvestris,no specific data available
disease_disorder,pulmonary tuberculosis,0.99142003,mahadrakkharist [grape extract],pulmonary fibrosis pulmonary tuberculosis
disease_disorder,cataracts,0.89047486,lutein + zeaxanthin,cataracts retinitis pigmentosa
disease_disorder,retinitis pigmentosa,0.81569254,lutein + zeaxanthin,cataracts retinitis pigmentosa
sign_symptom,spermatorrhoea,0.9142617,liquorice + cascara sagrada + belladona,spermatorrhoea painful micturations nocturnal emission enuresis
sign_symptom,micturations,0.99708176,liquorice + cascara sagrada + belladona,spermatorrhoea painful micturations nocturnal emission enuresis
sign_symptom,emission,0.92490745,liquorice + cascara sagrada + belladona,spermatorrhoea painful micturations nocturnal emission enuresis
sign_symptom,enuresis,0.9896973,liquorice + cascara sagrada + belladona,spermatorrhoea painful micturations nocturnal emission enuresis
disease_disorder,acne vulgaris,0.9998235,azelaic acid,mild to moderate inflammatory acne vulgaris
disease_disorder,erectile dysfunction,0.9895356,avanafil,erectile dysfunction
disease_disorder,bowel syndrome,0.95843166,atropine sulfate,"non ulcer dyspepsia, irritable bowel syndrome"
disease_disorder,attention deficit hyperactivity disorder,0.9994996,atomoxetine hydrochloride,attention deficit hyperactivity disorder (adhd).
sign_symptom,hyper,0.9968489,atenolol + chlorthalidone,hypertension
disease_disorder,angina pectoris,0.9997269,atenolol,for the long-term management of patients with angina pectoris
sign_symptom,hyperplasia,0.9527774,pumpkin [cucurbita pepo],commonly used by mouth for symptoms of benign prostatic hyperplasia
sign_symptom,hemorrhoids,0.98997134,psyllium [ispaghula husk] + senna extract,constipation hemorrhoids or piles bowel regulation
sign_symptom,diarrhea,0.918997,probiotic combination [4 billion],antibiotic associated diarrhea
disease_disorder,infection,0.99956065,probiotic combination [2.3 billion],urinary tract infection
sign_symptom,irritable,0.6802018,peppermint oil,irritable bowel syndrome
disease_disorder,bowel syndrome,0.97413987,peppermint oil,irritable bowel syndrome
sign_symptom,loss,0.9660247,penitab,loss of memory dementia
sign_symptom,memory,0.98243815,penitab,loss of memory dementia
disease_disorder,dementia,0.9905144,penitab,loss of memory dementia
sign_symptom,pechish,0.7151799,pechish,indicated
sign_symptom,pain,0.9999573,patrangasav,low back pain
sign_symptom,pain,0.99996173,beclomethasone dipropionate + chloramphenicol + clotrimazole + lidocaine,shows excellent pain reduction of lidocaine to treat acute otitis media
disease_disorder,influenza,0.9996724,baloxavir marboxil,treatment of acute uncomplicated influenza
