generic_name,cases,rating
acarbose,"diabetes, type 2",0.0
acetazolamide,edema,0.51
acetazolamide,epilepsy,0.83
acetazolamide,glaucoma,0.49
acetazolamide,hydrocephalus,0.89
acetazolamide,mountain sickness / altitude sickness,0.91
acetazolamide,pseudotumor cerebri,0.64
acetazolamide,seizure prevention,0.61
acetylcysteine,acetaminophen overdose,0.89
acetylcysteine,diagnostic bronchograms,0.89
acetylcysteine,expectoration,0.97
acitretin,psoriasis,0.73
adalimumab,ankylosing spondylitis,0.73
adalimumab,behcet's disease,0.89
adalimumab,crohn's disease,0.58
adalimumab,"crohn's disease, acute",0.62
adalimumab,"crohn's disease, maintenance",0.77
adalimumab,hidradenitis suppurativa,0.0
adalimumab,juvenile idiopathic arthritis,0.94
adalimumab,not listed / othe,1.0
adalimumab,plaque psoriasis,0.74
adalimumab,psoriasis,0.75
adalimumab,psoriatic arthritis,0.69
adalimumab,reiter's syndrome,0.85
adalimumab,rheumatoid arthritis,0.64
adalimumab,spondyloarthritis,0.11
adalimumab,ulcerative colitis,0.56
adapalene,acne,0.71
adenosine,not listed / othe,1.0
adenosine,supraventricular tachycardia,0.59
aflibercept,diabetic macular edema,0.67
aflibercept,macular degeneration,0.52
aflibercept,macular edema,0.22
albendazole,ascariasis,0.89
albendazole,cutaneous larva migrans,0.89
albendazole,pinworm infection (enterobius vermicularis),0.78
alcaftadine,"conjunctivitis, allergic",0.64
allopurinol,gout,0.77
allopurinol,hyperuricemia secondary to chemotherapy,0.67
allopurinol,urinary tract stones,0.94
almotriptan,migraine,0.87
alprazolam,anxiety,0.87
alprazolam,depression,0.9
alprazolam,dysautonomia,0.94
alprazolam,not listed / othe,0.94
alprazolam,panic disorde,0.91
alprazolam,tinnitus,0.8
ambrisentan,pulmonary hypertension,0.78
amikacin,bacterial urinary tract infection,0.0
amikacin,diverticulitis of gastrointestinal tract,0.0
amikacin,not listed / othe,1.0
amikacin,urinary tract infection,0.0
ampicillin sodium,acute bacterial sinusitis,0.5
ampicillin sodium,bacterial urinary tract infection,0.5
anastrozole,breast cance,0.49
anastrozole,"breast cancer, metastatic",0.64
anastrozole,endometrial cance,0.85
apixaban,deep vein thrombosis,0.53
apixaban,"deep vein thrombosis, prophylaxis",0.33
apixaban,prevention of thromboembolism in atrial fibrillation,0.56
apixaban,pulmonary embolism,0.72
apixaban,thromboembolic stroke prophylaxis,0.0
apremilast,not listed / othe,0.67
apremilast,plaque psoriasis,0.54
apremilast,psoriatic arthritis,0.45
aprepitant,"nausea/vomiting, chemotherapy induced",0.99
aprepitant,"nausea/vomiting, postoperative",1.0
aripiprazole,agitated state,0.56
aripiprazole,autism,0.61
aripiprazole,bipolar disorde,0.53
aripiprazole,borderline personality disorde,0.65
aripiprazole,depression,0.66
aripiprazole,infantile autism,0.44
aripiprazole,major depressive disorde,0.54
aripiprazole,not listed / othe,0.89
aripiprazole,obsessive compulsive disorde,0.67
aripiprazole,post traumatic stress disorde,0.61
aripiprazole,schizoaffective disorde,0.68
aripiprazole,schizophrenia,0.65
aripiprazole,tourette's syndrome,0.65
armodafinil,adhd,0.71
armodafinil,bipolar disorde,0.95
armodafinil,chronic fatigue syndrome,0.72
armodafinil,depression,0.65
armodafinil,hypersomnia,0.67
armodafinil,ibromyalgia,0.79
armodafinil,narcolepsy,0.62
armodafinil,not listed / othe,0.89
armodafinil,obstructive sleep apnea/hypopnea syndrome,0.83
armodafinil,shift work sleep disorde,0.72
armodafinil,sleepiness due to obstructive sleep apnea,0.66
aspirin,angina,1.0
aspirin,back pain,0.73
aspirin,eve,1.0
aspirin,fever,0.5
aspirin,heart attack,0.89
aspirin,osteoarthritis,0.78
aspirin,pain,0.76
aspirin,prevention of cerebrovascular accident,0.71
aspirin,rheumatoid arthritis,1.0
aspirin,sciatica,0.72
aspirin,thromboembolic stroke prophylaxis,0.89
aspirin,transient ischemic attack,1.0
atenolol,alcohol withdrawal,0.67
atenolol,angina,0.89
atenolol,anxiety,0.73
atenolol,high blood pressure,0.63
atenolol,hypertension,0.63
atenolol,migraine prevention,0.87
atenolol,mitral valve prolapse,0.97
atenolol,not listed / othe,0.81
atenolol,supraventricular tachycardia,0.76
atenolol,ventricular tachycardia,0.8
avanafil,erectile dysfunction,0.59
azathioprine,autoimmune hepatitis,0.78
azathioprine,crohn's disease,0.39
azathioprine,"crohn's disease, acute",0.5
azathioprine,"crohn's disease, maintenance",0.74
azathioprine,eczema,0.89
azathioprine,multiple sclerosis,0.78
azathioprine,myasthenia gravis,0.78
azathioprine,renal transplant,1.0
azathioprine,rheumatoid arthritis,0.26
azathioprine,systemic lupus erythematosus,0.39
azathioprine,ulcerative colitis,0.65
azathioprine,wegener's granulomatosis,0.56
azelaic acid,acne,0.81
azelaic acid,rosacea,0.78
azilsartan medoxomil,high blood pressure,0.53
azilsartan medoxomil,hypertension,0.74
aztreonam,bacterial urinary tract infection,0.38
baclofen,alcohol withdrawal,0.88
baclofen,cerebral spasticity,1.0
baclofen,cervical dystonia,0.48
baclofen,chronic spasticity,0.61
baclofen,dystonia,0.78
baclofen,hiccups,1.0
baclofen,migraine prevention,0.72
baclofen,muscle spasm,0.66
baclofen,muscle twitching,0.5
baclofen,neuralgia,0.46
baclofen,not listed / othe,0.81
baclofen,periodic limb movement disorde,0.67
baclofen,temporomandibular joint disorde,0.59
baclofen,trigeminal neuralgia,0.7
barium sulfate,computed tomography,0.4
bendamustine,chronic lymphocytic leukemia,1.0
bendamustine,non-hodgkin's lymphoma,0.89
benzocaine,cold sores,0.94
benzocaine,oral and dental conditions,0.0
benzocaine,pain,0.56
benzocaine,pruritus,1.0
benzocaine,sore throat,0.63
benzocaine,tonsillitis/pharyngitis,0.89
benzoyl peroxide,acne,0.87
benzoyl peroxide,not listed / othe,1.0
benzyl alcohol,head lice,0.78
besifloxacin,bacterial conjunctivitis,0.47
besifloxacin,"conjunctivitis, bacterial",0.72
betamethasone,atopic dermatitis,0.81
betamethasone,dermatitis,0.96
betamethasone,dermatological disorders,0.93
betamethasone,inflammatory conditions,0.89
betamethasone,lichen sclerosus,0.89
betamethasone dipropionate,atopic dermatitis,0.83
betamethasone valerate,atopic dermatitis,0.81
bevacizumab,"breast cancer, metastatic",0.89
bevacizumab,colorectal cance,1.0
bevacizumab,glioblastoma multi,0.87
bevacizumab,macular degeneration,1.0
bevacizumab,malignant glioma,0.89
bevacizumab,non-small cell lung cance,0.78
bevacizumab,ovarian cance,0.37
bevacizumab,pancreatic cance,0.89
bevacizumab,renal cell carcinoma,0.78
bicalutamide,prostate cance,0.73
bimatoprost,eyelash hypotrichosis,1.0
bimatoprost,"glaucoma, open angle",0.57
bimatoprost,intraocular hypertension,0.39
biotin,dietary supplementation,0.58
biotin,not listed / othe,0.78
bisacodyl,bowel preparation,0.55
bisacodyl,constipation,0.52
bismuth subsalicylate,diarrhea,0.89
bismuth subsalicylate,"diarrhea, chronic",0.11
bismuth subsalicylate,indigestion,1.0
bivalirudin,percutaneous coronary intervention,1.0
bortezomib,multiple myeloma,0.94
brexpiprazole,depression,0.8
brexpiprazole,major depressive disorde,0.57
brexpiprazole,not listed / othe,0.56
brexpiprazole,schizophrenia,0.64
brinzolamide,"glaucoma, open angle",0.0
brivaracetam,seizures,0.78
bumetanide,edema,0.64
bumetanide,hypertension,0.66
busulfan,chronic myelogenous leukemia,1.0
busulfan,thrombocythemia,1.0
butoconazole nitrate,vulvovaginal candidiasis,1.0
cabergoline,hyperprolactinemia,0.8
cabozantinib,thyroid cance,0.0
calcitriol,hypocalcemia,0.78
calcitriol,hypoparathyroidism,0.7
calcitriol,psoriasis,0.74
calcium acetate,hyperphosphatemia,0.78
calcium carbonate,gerd,0.11
calcium carbonate,hypocalcemia,0.89
calcium carbonate,indigestion,0.84
calcium carbonate,osteoporosis,0.78
calcium carbonate,stomach ulce,0.89
capecitabine,adenocarcinoma of pancreas,0.67
capecitabine,breast cance,0.48
capecitabine,"breast cancer, metastatic",0.57
capecitabine,colorectal cance,0.84
capecitabine,stomach cance,1.0
capsaicin,back pain,0.56
capsaicin,diabetic peripheral neuropathy,0.0
capsaicin,not listed / othe,0.89
capsaicin,osteoarthritis,0.56
capsaicin,pain,0.64
capsaicin,peripheral neuropathy,0.71
capsaicin,postherpetic neuralgia,0.56
captopril,high blood pressure,0.93
captopril,hypertension,0.43
carbamazepine,bipolar disorde,0.6
carbamazepine,cluster-tic syndrome,0.67
carbamazepine,dystonia,0.56
carbamazepine,epilepsy,0.67
carbamazepine,not listed / othe,1.0
carbamazepine,peripheral neuropathy,0.61
carbamazepine,trigeminal neuralgia,0.64
carboplatin,ovarian cance,0.89
carisoprodol,muscle spasm,0.91
carisoprodol,nocturnal leg cramps,0.98
carisoprodol,not listed / othe,1.0
carvedilol,angina,0.5
carvedilol,atrial fibrillation,0.4
carvedilol,heart failure,0.93
carvedilol,high blood pressure,0.31
carvedilol,hypertension,0.42
carvedilol,left ventricular dysfunction,0.93
carvedilol,not listed / othe,0.44
cefdinir,bacterial urinary tract infection,0.19
cefdinir,bronchitis,0.37
cefdinir,otitis media,0.37
cefdinir,pharyngitis due to streptococcus pyogenes,0.19
cefdinir,pneumonia,0.59
cefdinir,sinusitis,0.33
cefdinir,skin and structure infection,0.19
cefdinir,skin or soft tissue infection,0.44
cefdinir,strep throat,0.27
cefdinir,tonsillitis/pharyngitis,0.56
cefditoren,bronchitis,0.89
cefditoren,skin and structure infection,0.22
cefotaxime,skin or soft tissue infection,1.0
cefprozil,bladder infection,0.06
cefprozil,bronchitis,0.89
cefprozil,pharyngitis due to streptococcus pyogenes,0.17
cefprozil,pneumonia,0.33
cefprozil,sinusitis,0.29
cefprozil,tonsillitis/pharyngitis,0.67
cefprozil,upper respiratory tract infection,0.61
cefuroxime axetil,bacterial urinary tract infection,0.4
cefuroxime axetil,impetigo,0.4
cefuroxime axetil,pharyngitis due to streptococcus pyogenes,0.4
celecoxib,ankylosing spondylitis,0.78
celecoxib,gout,0.54
celecoxib,juvenile rheumatoid arthritis,0.78
celecoxib,not listed / othe,0.78
celecoxib,osteoarthritis,0.75
celecoxib,pain,0.72
celecoxib,period pain,0.78
celecoxib,rheumatoid arthritis,0.7
cephalexin,acne,0.78
cephalexin,bacterial endocarditis prevention,0.85
cephalexin,bacterial infection,0.6
cephalexin,bacterial urinary tract infection,0.4
cephalexin,bladder infection,0.76
cephalexin,bone infection,0.67
cephalexin,kidney infections,0.78
cephalexin,otitis media,0.78
cephalexin,pharyngitis,0.39
cephalexin,pharyngitis due to streptococcus pyogenes,0.4
cephalexin,skin or soft tissue infection,0.65
cephalexin,upper respiratory tract infection,0.65
cetuximab,colorectal cance,0.75
cetuximab,head and neck cance,0.33
cetuximab,squamous cell carcinoma,0.67
chlorambucil,chronic lymphocytic leukemia,0.89
chlorambucil,lymphoma,0.67
chlorthalidone,edema,0.35
chlorthalidone,high blood pressure,0.38
chlorthalidone,hypertension,0.35
cilostazol,intermittent claudication,0.76
cinacalcet,secondary hyperparathyroidism,0.63
ciprofloxacin,anthrax,0.89
ciprofloxacin,bacterial infection,0.61
ciprofloxacin,bacterial urinary tract infection,0.44
ciprofloxacin,bladder infection,0.44
ciprofloxacin,bone infection,0.67
ciprofloxacin,bronchitis,0.5
ciprofloxacin,cholera,1.0
ciprofloxacin,"conjunctivitis, bacterial",1.0
ciprofloxacin,crohn's disease,1.0
ciprofloxacin,diverticulitis,0.49
ciprofloxacin,diverticulitis of gastrointestinal tract,0.44
ciprofloxacin,"epididymitis, sexually transmitted",0.33
ciprofloxacin,"gonococcal infection, uncomplicated",0.78
ciprofloxacin,infectious diarrhea,0.33
ciprofloxacin,kidney infections,0.42
ciprofloxacin,not listed / othe,1.0
ciprofloxacin,prostatitis,0.33
ciprofloxacin,sinusitis,0.75
ciprofloxacin,skin or soft tissue infection,0.59
ciprofloxacin,traveler's diarrhea,1.0
ciprofloxacin,typhoid feve,0.89
ciprofloxacin,urinary tract infection,0.48
cisplatin,adenocarcinoma of pancreas,0.56
cisplatin,brain tum,1.0
clarithromycin,acute bacterial sinusitis,0.44
clarithromycin,bronchitis,0.41
clarithromycin,dental abscess,0.56
clarithromycin,helicobacter pylori infection,0.56
clarithromycin,legionella pneumonia,0.0
clarithromycin,llicular lymphoma,0.44
clarithromycin,"mycobacterium avium-intracellulare, treatment",0.0
clarithromycin,mycoplasma pneumonia,0.0
clarithromycin,not listed / othe,0.5
clarithromycin,otitis media,0.73
clarithromycin,pertussis,0.72
clarithromycin,pharyngitis,0.89
clarithromycin,pharyngitis due to streptococcus pyogenes,0.32
clarithromycin,pneumonia,0.77
clarithromycin,sinusitis,0.49
clarithromycin,skin and structure infection,0.37
clarithromycin,skin or soft tissue infection,0.31
clarithromycin,strep throat,0.4
clarithromycin,tonsillitis/pharyngitis,0.55
clarithromycin,upper respiratory tract infection,0.49
clindamycin,acne,0.75
clindamycin,aspiration pneumonia,1.0
clindamycin,bacterial endocarditis prevention,0.89
clindamycin,bacterial infection,0.52
clindamycin,bacterial vaginitis,0.59
clindamycin,bone infection,0.86
clindamycin,deep neck infection,0.89
clindamycin,intraabdominal infection,0.89
clindamycin,not listed / othe,0.49
clindamycin,peritonitis,0.93
clindamycin,prevention of perinatal group b streptococcal disease,0.89
clindamycin,sinusitis,0.62
clindamycin,skin or soft tissue infection,0.62
clindamycin,surgical prophylaxis,0.43
clobazam,epilepsy,1.0
clobazam,lennox-gastaut syndrome,0.76
clonazepam,anxiety,0.85
clonazepam,benzodiazepine withdrawal,0.57
clonazepam,bipolar disorde,0.82
clonazepam,borderline personality disorde,0.89
clonazepam,burning mouth syndrome,0.84
clonazepam,hyperekplexia,0.83
clonazepam,insomnia,0.76
clonazepam,migraine prevention,0.73
clonazepam,night terrors,0.8
clonazepam,not listed / othe,0.82
clonazepam,obsessive compulsive disorde,0.89
clonazepam,panic disorde,0.9
clonazepam,periodic limb movement disorde,0.86
clonazepam,restless legs syndrome,0.78
clonazepam,seizure prevention,0.91
clonazepam,sleep paralysis,0.61
clonazepam,temporomandibular joint disorde,1.0
clozapine,borderline personality disorde,0.7
clozapine,paranoid disorde,0.89
clozapine,schizophrenia,0.87
coal tar,dermatitis,0.81
coal tar,psoriasis,0.95
coal tar,seborrheic dermatitis,0.67
colchicine,amilial mediterranean feve,0.98
colchicine,behcet's disease,0.78
colchicine,"gout, acute",0.73
colchicine,"gout, prophylaxis",0.86
colchicine,"pseudogout, prophylaxis",1.0
crisaborole,atopic dermatitis,0.63
crizotinib,non-small cell lung cance,1.0
crotamiton,pruritus,1.0
crotamiton,scabies,0.62
cyanocobalamin,b12 nutritional deficiency,1.0
cyanocobalamin,schilling test,1.0
cyanocobalamin,vitamin b12 deficiency,0.93
cyclophosphamide,brain tum,1.0
cyclophosphamide,chronic myelogenous leukemia,1.0
cyclophosphamide,multiple sclerosis,0.22
