generic_name,cases,head,singular_case,main_generic_name
acarbose,"diabetes, diabetes mellitus",diabetes,"diabetes, diabetes mellitus",acarbose
acetazolamide,edema,edema,edema,acetazolamide
acetazolamide,epilepsy,epilepsy,epilepsy,acetazolamide
acetazolamide,glaucoma,glaucoma,glaucoma,acetazolamide
acetazolamide,hydrocephalus,hydrocephalus,hydrocephalus,acetazolamide
acetazolamide,mountain sickness / altitude sickness,temporary sickness,mountain sickness / altitude sickness,acetazolamide
acetazolamide,pseudotumor cerebri,nervous system,pseudotumor cerebri,acetazolamide
acetazolamide,seizure prevention,seizure,seizure prevention,acetazolamide
acetylcysteine,acetaminophen overdose,acetaminophen overdose,acetaminophen overdose,acetylcysteine
acetylcysteine,diagnostic bronchograms,diagnostic bronchograms,diagnostic bronchograms,acetylcysteine
acetylcysteine,expectoration,expectoration,expectoration,acetylcysteine
acitretin,psoriasis,skin,psoriasis,acitretin
adalimumab,ankylosing spondylitis,arthritis,ankylosing spondylitis,adalimumab
adalimumab,behcet's disease,behcet's disease,behcet's disease,adalimumab
adalimumab,crohn's disease,crohn's disease,crohn's disease,adalimumab
adalimumab,"crohn's disease, acute",crohn's disease,"crohn's disease, acute",adalimumab
adalimumab,"crohn's disease, maintenance",crohn's disease,"crohn's disease, maintenance",adalimumab
adalimumab,hidradenitis suppurativa,hidradenitis suppurativa,hidradenitis suppurativa,adalimumab
adalimumab,juvenile idiopathic arthritis,arthritis,juvenile idiopathic arthritis,adalimumab
adalimumab,plaque psoriasis,skin,plaque psoriasis,adalimumab
adalimumab,psoriasis,skin,psoriasis,adalimumab
adalimumab,psoriatic arthritis,arthritis,psoriatic arthritis,adalimumab
adalimumab,reiter's syndrome,arthritis,reiter's syndrome,adalimumab
adalimumab,rheumatoid arthritis,arthritis,rheumatoid arthritis,adalimumab
adalimumab,spondyloarthritis,arthritis,spondyloarthritis,adalimumab
adalimumab,ulcerative colitis,ulcer,ulcerative colitis,adalimumab
adapalene,acne,acne,acne,adapalene
adenosine,supraventricular tachycardia,heart diseases,supraventricular tachycardia,adenosine
aflibercept,diabetic macular edema,edema,diabetic macular edema,aflibercept
aflibercept,macular degeneration,macular issue,macular degeneration,aflibercept
aflibercept,macular edema,edema,macular edema,aflibercept
albendazole,ascariasis,ascariasis,ascariasis,albendazole
albendazole,cutaneous larva migrans,skin,cutaneous larva migrans,albendazole
albendazole,pinworm infection (enterobius vermicularis),infection,pinworm infection (enterobius vermicularis),albendazole
alcaftadine,"conjunctivitis, allergic",conjunctivitis,"conjunctivitis, allergic",alcaftadine
allopurinol,gout,arthritis,gout,allopurinol
allopurinol,hyperuricemia secondary to chemotherapy,arthritis,hyperuricemia secondary to chemotherapy,allopurinol
allopurinol,urinary tract stones,specific urinary,urinary tract stones,allopurinol
almotriptan,migraine,migraine,migraine,almotriptan
alprazolam,anxiety,anxiety,anxiety,alprazolam
alprazolam,depression,anxiety,depression,alprazolam
alprazolam,dysautonomia,dysautonomia,dysautonomia,alprazolam
alprazolam,panic disorder,anxiety,panic disorder,alprazolam
alprazolam,tinnitus,tinnitus,tinnitus,alprazolam
ambrisentan,pulmonary hypertension,lung,pulmonary hypertension,ambrisentan
amikacin,bacterial urinary tract infection,specific urinary,bacterial urinary tract infection,amikacin
amikacin,diverticulitis of gastrointestinal tract,gastroenteritis,diverticulitis of gastrointestinal tract,amikacin
amikacin,urinary tract infection,specific urinary,urinary tract infection,amikacin
ampicillin sodium,acute bacterial sinusitis,bacterial,acute bacterial sinusitis,ampicillin sodium
ampicillin sodium,bacterial urinary tract infection,specific urinary,bacterial urinary tract infection,ampicillin sodium
anastrozole,breast cancer,lymphoma,breast cancer,anastrozole
anastrozole,"breast cancer, metastatic",lymphoma,"breast cancer, metastatic",anastrozole
anastrozole,endometrial cancer,lymphoma,endometrial cancer,anastrozole
apixaban,deep vein thrombosis,thrombosis,deep vein thrombosis,apixaban
apixaban,"deep vein thrombosis, prophylaxis",thrombosis,"deep vein thrombosis, prophylaxis",apixaban
apixaban,prevention of thromboembolism in atrial fibrillation,thrombosis,prevention of thromboembolism in atrial fibrillation,apixaban
apixaban,pulmonary embolism,lung,pulmonary embolism,apixaban
apixaban,thromboembolic stroke prophylaxis,thrombosis,thromboembolic stroke prophylaxis,apixaban
apremilast,plaque psoriasis,skin,plaque psoriasis,apremilast
apremilast,psoriatic arthritis,arthritis,psoriatic arthritis,apremilast
aprepitant,"nausea/vomiting, chemotherapy induced",nausea,"nausea/vomiting, chemotherapy induced",aprepitant
aprepitant,"nausea/vomiting, postoperative",nausea,"nausea/vomiting, postoperative",aprepitant
aripiprazole,agitated state,anxiety,agitated state,aripiprazole
aripiprazole,autism,autism,autism,aripiprazole
aripiprazole,bipolar disorder,bipolar disorder,bipolar disorder,aripiprazole
aripiprazole,borderline personality disorder,mental,borderline personality disorder,aripiprazole
aripiprazole,depression,anxiety,depression,aripiprazole
aripiprazole,infantile autism,autism,infantile autism,aripiprazole
aripiprazole,depression,anxiety,depression,aripiprazole
aripiprazole,obsessive compulsive disorder,mental,obsessive compulsive disorder,aripiprazole
aripiprazole,post traumatic stress disorder,anxiety,post traumatic stress disorder,aripiprazole
aripiprazole,schizoaffective disorder,schizoaffective disorder,schizoaffective disorder,aripiprazole
aripiprazole,schizophrenia,schizophrenia,schizophrenia,aripiprazole
aripiprazole,tourette's syndrome,nervous system,tourette's syndrome,aripiprazole
armodafinil,adhd,autism,adhd,armodafinil
armodafinil,bipolar disorder,bipolar disorder,bipolar disorder,armodafinil
armodafinil,chronic fatigue syndrome,nausea,chronic fatigue syndrome,armodafinil
armodafinil,depression,anxiety,depression,armodafinil
armodafinil,hypersomnia,anxiety,hypersomnia,armodafinil
armodafinil,fibromyalgia,muscular,fibromyalgia,armodafinil
armodafinil,narcolepsy,sleep,narcolepsy,armodafinil
armodafinil,obstructive sleep apnea/hypopnea syndrome,sleep,obstructive sleep apnea/hypopnea syndrome,armodafinil
armodafinil,shift work sleep disorder,sleep,shift work sleep disorder,armodafinil
armodafinil,sleepiness due to obstructive sleep apnea,sleep,sleepiness due to obstructive sleep apnea,armodafinil
aspirin,angina,heart diseases,angina,aspirin
aspirin,back pain,pain,back pain,aspirin
aspirin,fever,cold-cough-fever,fever,aspirin
aspirin,fever,cold-cough-fever,fever,aspirin
aspirin,heart failure,heart diseases,heart failure,aspirin
aspirin,osteoarthritis,arthritis,osteoarthritis,aspirin
aspirin,pain,pain,pain,aspirin
aspirin,prevention of cerebrovascular accident,nervous system,prevention of cerebrovascular accident,aspirin
aspirin,rheumatoid arthritis,arthritis,rheumatoid arthritis,aspirin
aspirin,sciatica,pain,sciatica,aspirin
aspirin,thromboembolic stroke prophylaxis,thrombosis,thromboembolic stroke prophylaxis,aspirin
aspirin,transient ischemic attack,stroke,transient ischemic attack,aspirin
atenolol,alcohol withdrawal,alcohol,alcohol withdrawal,atenolol
atenolol,angina,heart diseases,angina,atenolol
atenolol,anxiety,anxiety,anxiety,atenolol
atenolol,hypertension,hypertension,hypertension,atenolol
atenolol,hypertension,hypertension,hypertension,atenolol
atenolol,migraine prevention,migraine,migraine prevention,atenolol
atenolol,mitral valve prolapse,heart diseases,mitral valve prolapse,atenolol
atenolol,supraventricular tachycardia,heart diseases,supraventricular tachycardia,atenolol
atenolol,ventricular tachycardia,heart diseases,ventricular tachycardia,atenolol
avanafil,erectile dysfunction,erectile dysfunction,erectile dysfunction,avanafil
azathioprine,autoimmune hepatitis,hepatitis,autoimmune hepatitis,azathioprine
azathioprine,crohn's disease,crohn's disease,crohn's disease,azathioprine
azathioprine,"crohn's disease, acute",crohn's disease,"crohn's disease, acute",azathioprine
azathioprine,"crohn's disease, maintenance",crohn's disease,"crohn's disease, maintenance",azathioprine
azathioprine,eczema,skin,eczema,azathioprine
