generic_name,cases,head
acarbose,"diabetes, diabetes mellitus",diabetes
acetazolamide,edema,edema
acetazolamide,epilepsy,epilepsy
acetazolamide,glaucoma,glaucoma
acetazolamide,hydrocephalus,hydrocephalus
acetazolamide,mountain sickness / altitude sickness,temporary sickness
acetazolamide,pseudotumor cerebri,nervous system
acetazolamide,seizure prevention,seizure
acetylcysteine,acetaminophen overdose,acetaminophen overdose
acetylcysteine,diagnostic bronchograms,diagnostic bronchograms
acetylcysteine,expectoration,expectoration
acitretin,psoriasis,skin
adalimumab,ankylosing spondylitis,arthritis
adalimumab,behcet's disease,behcet's disease
adalimumab,crohn's disease,crohn's disease
adalimumab,"crohn's disease, acute",crohn's disease
adalimumab,"crohn's disease, maintenance",crohn's disease
adalimumab,hidradenitis suppurativa,hidradenitis suppurativa
adalimumab,juvenile idiopathic arthritis,arthritis
adalimumab,plaque psoriasis,skin
adalimumab,psoriasis,skin
adalimumab,psoriatic arthritis,arthritis
adalimumab,reiter's syndrome,arthritis
adalimumab,rheumatoid arthritis,arthritis
adalimumab,spondyloarthritis,arthritis
adalimumab,ulcerative colitis,ulcer
adapalene,acne,acne
adenosine,supraventricular tachycardia,heart diseases
aflibercept,diabetic macular edema,edema
aflibercept,macular degeneration,macular issue
aflibercept,macular edema,edema
albendazole,ascariasis,ascariasis
albendazole,cutaneous larva migrans,skin
albendazole,pinworm infection (enterobius vermicularis),infection
alcaftadine,"conjunctivitis, allergic",conjunctivitis
allopurinol,gout,arthritis
allopurinol,hyperuricemia secondary to chemotherapy,arthritis
allopurinol,urinary tract stones,specific urinary
almotriptan,migraine,migraine
alprazolam,anxiety,anxiety
alprazolam,depression,anxiety
alprazolam,dysautonomia,dysautonomia
alprazolam,panic disorder,anxiety
alprazolam,tinnitus,tinnitus
ambrisentan,pulmonary hypertension,lung
amikacin,bacterial urinary tract infection,specific urinary
amikacin,diverticulitis of gastrointestinal tract,gastroenteritis
amikacin,urinary tract infection,specific urinary
ampicillin sodium,acute bacterial sinusitis,bacterial
ampicillin sodium,bacterial urinary tract infection,specific urinary
anastrozole,breast cancer,lymphoma
anastrozole,"breast cancer, metastatic",lymphoma
anastrozole,endometrial cancer,lymphoma
apixaban,deep vein thrombosis,thrombosis
apixaban,"deep vein thrombosis, prophylaxis",thrombosis
apixaban,prevention of thromboembolism in atrial fibrillation,thrombosis
apixaban,pulmonary embolism,lung
apixaban,thromboembolic stroke prophylaxis,thrombosis
apremilast,plaque psoriasis,skin
apremilast,psoriatic arthritis,arthritis
aprepitant,"nausea/vomiting, chemotherapy induced",nausea
aprepitant,"nausea/vomiting, postoperative",nausea
aripiprazole,agitated state,anxiety
aripiprazole,autism,autism
aripiprazole,bipolar disorder,bipolar disorder
aripiprazole,borderline personality disorder,mental
aripiprazole,depression,anxiety
aripiprazole,infantile autism,autism
aripiprazole,depression,anxiety
aripiprazole,obsessive compulsive disorder,mental
aripiprazole,post traumatic stress disorder,anxiety
aripiprazole,schizoaffective disorder,schizoaffective disorder
aripiprazole,schizophrenia,schizophrenia
aripiprazole,tourette's syndrome,nervous system
armodafinil,adhd,autism
armodafinil,bipolar disorder,bipolar disorder
armodafinil,chronic fatigue syndrome,nausea
armodafinil,depression,anxiety
armodafinil,hypersomnia,anxiety
armodafinil,fibromyalgia,muscular
armodafinil,narcolepsy,sleep
armodafinil,obstructive sleep apnea/hypopnea syndrome,sleep
armodafinil,shift work sleep disorder,sleep
armodafinil,sleepiness due to obstructive sleep apnea,sleep
aspirin,angina,heart diseases
aspirin,back pain,pain
