group,indication,Score,drug_class,generic_name
medication,hydrocortisone,0.92296624,hydrocortisone & combined preparations,acyclovir + hydrocortisone
medication,hydrocortisone,0.92296624,hydrocortisone & combined preparations,clotrimazole + hydrocortisone
medication,hydrocortisone,0.92296624,hydrocortisone & combined preparations,gentamicin + hydrocortisone acetate
medication,hydrocortisone,0.92296624,hydrocortisone & combined preparations,fusidic acid + hydrocortisone
medication,hydrocortisone,0.92296624,hydrocortisone & combined preparations,miconazole nitrate + hydrocortisone
therapeutic_procedure,combined preparations,0.71817887,hydrocortisone & combined preparations,acyclovir + hydrocortisone
therapeutic_procedure,combined preparations,0.71817887,hydrocortisone & combined preparations,clotrimazole + hydrocortisone
therapeutic_procedure,combined preparations,0.71817887,hydrocortisone & combined preparations,gentamicin + hydrocortisone acetate
therapeutic_procedure,combined preparations,0.71817887,hydrocortisone & combined preparations,fusidic acid + hydrocortisone
therapeutic_procedure,combined preparations,0.71817887,hydrocortisone & combined preparations,miconazole nitrate + hydrocortisone
administration,topical,0.93662393,topical antiviral preparations,acyclovir (topical)
therapeutic_procedure,preparations,0.5808506,topical antiviral preparations,acyclovir (topical)
disease_disorder,herpes,0.77169335,herpes simplex & varicella-zoster virus infections,acyclovir (oral)
disease_disorder,herpes,0.77169335,herpes simplex & varicella-zoster virus infections,acyclovir (injection)
disease_disorder,herpes,0.77169335,herpes simplex & varicella-zoster virus infections,famciclovir
disease_disorder,herpes,0.77169335,herpes simplex & varicella-zoster virus infections,valacyclovir
disease_disorder,simplex,0.5988854,herpes simplex & varicella-zoster virus infections,acyclovir (oral)
disease_disorder,simplex,0.5988854,herpes simplex & varicella-zoster virus infections,acyclovir (injection)
disease_disorder,simplex,0.5988854,herpes simplex & varicella-zoster virus infections,famciclovir
disease_disorder,simplex,0.5988854,herpes simplex & varicella-zoster virus infections,valacyclovir
disease_disorder,infections,0.99973863,herpes simplex & varicella-zoster virus infections,acyclovir (oral)
disease_disorder,infections,0.99973863,herpes simplex & varicella-zoster virus infections,acyclovir (injection)
disease_disorder,infections,0.99973863,herpes simplex & varicella-zoster virus infections,famciclovir
disease_disorder,infections,0.99973863,herpes simplex & varicella-zoster virus infections,valacyclovir
diagnostic_procedure,ophthalmic anti - viral products,0.9906392,ophthalmic anti-viral products,acyclovir (ophthalmic)
diagnostic_procedure,ophthalmic anti - viral products,0.9906392,ophthalmic anti-viral products,ganciclovir (ophthalmic)
diagnostic_procedure,ophthalmic anti - viral products,0.9906392,ophthalmic anti-viral products,idoxuridine
diagnostic_procedure,ophthalmic anti - viral products,0.9906392,ophthalmic anti-viral products,trifluridine
therapeutic_procedure,antidote preparations,0.8836351,antidote preparations,activated charcoal
therapeutic_procedure,antidote preparations,0.8836351,antidote preparations,acetylcysteine
therapeutic_procedure,antidote preparations,0.8836351,antidote preparations,deferiprone
therapeutic_procedure,antidote preparations,0.8836351,antidote preparations,deferasirox
therapeutic_procedure,antidote preparations,0.8836351,antidote preparations,hydroxocobalamin
therapeutic_procedure,antidote preparations,0.8836351,antidote preparations,mesna
therapeutic_procedure,antidote preparations,0.8836351,antidote preparations,naltrexone
therapeutic_procedure,antidote preparations,0.8836351,antidote preparations,naloxone hydrochloride
therapeutic_procedure,antidote preparations,0.8836351,antidote preparations,pralidoxime chloride
therapeutic_procedure,antidote preparations,0.8836351,antidote preparations,protamine sulfate
therapeutic_procedure,antidote preparations,0.8836351,antidote preparations,sodium thiosulfate
detailed_description,combined,0.93485177,combined bronchodilators,aclidinium bromide + formoterol fumarate
detailed_description,combined,0.93485177,combined bronchodilators,formoterol fumarate + glycopyrrolate + budesonide
detailed_description,combined,0.93485177,combined bronchodilators,indacaterol + glycopyrronium
detailed_description,combined,0.93485177,combined bronchodilators,salbutamol + ipratropium (solution for inhalation)
detailed_description,combined,0.93485177,combined bronchodilators,salbutamol + ipratropium (inhaler)
