,generic_name,use_cases,mechanism_of_action,drug_interactions,food_interactions,contraindications,side_effects
0,adalimumab,not been established,blocks its interaction with the p55 and p75 cell surface tnf receptors,live vaccines,live vaccines,patients with known hypersensitivity toadalimumab,injection site reactions
1,acyclovir + hydrocortisone,amp,inactivation of the viral dna polymerase,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,contraindication,inflammation
2,acyclovir (topical),immunocompetent adults and adolescents 12 years of age and older,antiviral,systemic drug interactions,systemic,patients with known hypersensitivity,"dry lips, desquamation, dryness of skin"
3,acyclovir (oral),immunocompromised patients,absorbed from gl tract,probenecid reduces aciclovir excretion,probenecid,patients known to be hypersensitive to aciclovir,"headache, neurological reaction, fatigue."
4,acyclovir (ophthalmic),herpes simplex keratitis,antiviral agent,clinically significant interactions,clinically significant interactions have been identified.,patients known to be hypersensitive,healed without apparent sequelae
5,acyclovir (injection),immunocompromised patients,intracellular conversion,urinary excretion and renal clearance correspondingly reduced,urinary excretion and renal clearance correspondingly reduced,patients known to be hypersensitive,local inflammatory reactions may occur if acyclovir iv
6,activated charcoal,"poisoning due to foods, heavy meals &amp",binds the poison and prevents its absorption by the gastrointestinal tract,ultracarbon,ultracarbon,intoxication,the stools turn black
7,aclidinium bromide + formoterol fumarate,maintenance treatment of patients with chronic obstructive pulmonary disease,formoterol fumarate,avoid administrations of this combination with other anticholinergic-containing drugs,drugs,patients with asthma,headache
8,acitretin,severe extensive psoriasis,unknown,"methotrexate, tetracyclines or vitamin a","methotrexate, tetracyclines or vitamin a",patients with rare glucose-galactosemalabsorption,dose-related and are usually well-tolerated at the recommended dosages
9,acidic component [hco3 hemodialysis solution],haemodialysis,sodium chloride,drug interactions,drug,known hypersensitivity,electrolyte imbalance
10,acetylcysteine,certain clinical condition,anti-oxidant action,inhibitory effect of thrombocyte aggregation,amoxicillin will increase the level of the antibiotic in tissues,patients suffering from phenylketonuria,not everybody gets them
11,acetazolamide,"open angle glaucoma, secondary glaucoma",carbonic anhydrase inhibitor,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,marked kidney and liver diseases or dysfunction,"headache, drowsiness, dizziness, fatigue"
12,acetate formulation [hemodialysis solution],haemodialysis,treatment of hyperosmolar diabetes,drug interactions,drug,known hypersensitivity,fluid and electrolyte imbalance
13,acemetacin,joint disorders,blocking a substance in the body called cyclooxygenase,antihypertensive effect of b-blockers,quinolone,peptic ulcer,"anorexia, nausea, vomiting"
14,aceclofenac,"osteoarthritis, rheumatoid arthritis",potent inhibitor of the enzyme cyclooxygenase,monitoring of patients,methotrexate,patients with known hypersensitivity to it,"after oral administration, it is rapidly and completely absorbed an unchanged drug"
15,"bandish [oak galls, tannic acid]",epistaxis menorrhagia blood dysentery,synergistically acting valuable natural ingredients,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in the therapeutic dosage
16,balarista,sportsmen and geriatric patients,antiasthmatic,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,"hypertension, dm, bph, cardiovascular diseases",well tolerated
17,bacopa extract [natural memory enhancer],children,enzymes involved in generation and scavenging of reactive oxygen species in the brain,reduce the decline in cognitive function associated with phenytoin,thyroid stimulating drugs or decrease the effects of anti-thyroid medications,"hyperthyroidism, fever and acute infection",no side effects
18,aushokarist [saraca indica],indicated in- dysfunctional uterine bleeding,pgh2 synthetase inhibitor,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE>,no health hazards or side effects are known
19,aswagandharista,nervous debility,sedative,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,no absolute contraindication,no significant side effect
20,ashokarista,premenstrual syndrome,antibacterial activities,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindicated during pregnancy,not yet known
21,arjunarista,prevention &amp,cardiotonic and diuretic,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,no absolute contraindication,no significant side effect
22,aravindasav,malnutrition indigestion immune deficiency dysentery worm,antispasmodic,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitive,no side effect
23,antacid [unani],peptic ulcer,prebiotic,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,there is no known contraindication,no significant side effect has been observed in proper dosage
24,aniseed + indian dill + black cardamom + peppermint,digestive disorders,curative herbs and natural oils in a modern formulation,<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,there is no known contraindication,no significant side effect has been reported in therapeutic dosage
25,andrographis paniculata,viral fever flu common cold sinusitis upper respiratory tract infection viral hepatitis,antihepatotoxic,isoniazid,isoniazid,cases of known allergy to plants of the acanthaceae family,"gastric discomfort, vomiting and loss of appetite"
26,ambergris + salep + galangal,antioxidant,synergistically acting precious natural ingredients,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,there is no known contraindication,no significant side effect has been observed in proper dosage
27,ambar momiyaee,continuous,nervine tonic,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,women and children,no significant side effect has been observed in proper dosage
28,amalaki rasayana,increase body immunity,phyllanthus emblica,<NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,NO SPECIFIC DATA AVAILABLE
29,aloe indica+ hyoscyamus niger + piper nigrum,acid reflux,anti-inflammatory agent,antiarrhythmic agents,corticosteroids,acutely inflamed intestinal diseases,allergic reaction
30,allopurinol,hyperuricosuria,it acts on purine catabolism,skin rash,azathioprine,patients withknown hypersensitive to allopurinol,"hypertension, alopecia,hepatotoxicity"
31,allium cepa + heparin + allantoin,scar treatment,amp; allantoin gel,drug interaction,drug,patients with known hypersensitivity,some local irritations are reported such as slight erythema and itching
32,alfuzosin hydrochloride,treatment of the signs and symptoms of benign prostatic hyperplasia,selective antagonist of post-synaptic a1 adrenoreceptors,profound hypotension,high fat meal,patients with severe renal impairment,flushing
33,alfacalcidol,certain illnesses.,binds to intracellular receptors,reduce the efficacy of vitamin d,corticosteroids,hypoparathyroidism,hypercalcaemia
34,alendronic acid + vitamin d3,amp,inhibitor of osteoclast mediated bone resorption,calcium supplement,mineral oils,stricture or achalasia,transient decreases in serum calcium and phosphate.
35,alendronic acid,men and women,inhibits the activity of osteoclasts,antacids and calcium supplements,supplements,patients at increased risk of aspiration,"nausea, vomiting, peptic ulceration, hypersensitivity reactions"
36,alectinib,patients,highly selective and potent alk and ret tyrosine kinase inhibitor,co-administered cyp3a substrates,drug-drug,patients with a known hypersensitivity,nausea
37,alcaftadine,topical ophthalmic use,histamine receptor antagonist,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with hypersensitivity to any component in the product,headache
38,albumin (human),hypoproteinemia,binds and carries a plethora of hydrophobic molecules,risk of atypical reactions to ace inhibitors,protein hydrolysates or alcoholic solutions,patients with severe anemia or cardiac failure,vascular overload with resultant pulmonary edema
39,albendazole,single and mixed infestations,"vermicidal, ovicidal and larvicidal activities",no interaction,pharmacodynamic or pharmacokinetic,during pregnancy or women thought to be pregnant,rarely reversible alopecia
40,agomelatine,major depressive disorder especially in non-responders,"mt1, mt2, and 5ht-2c receptors",potent cyp1a2 inhibitors,medicinal products,patients with hepatic impairment and hypersensitivity,"headache, nausea and diarrhea"
41,aflibercept,metastatic colorectal cancer,to suppress neovascularization and decrease vascular permeability,no dedicated drug-drug interaction studies,irinotecan,NO SPECIFIC DATA AVAILABLE,20% incidence and at least 2% greater incidence
42,afatinib dimaleate,limitation of use,inhibits tyrosine kinase autophosphorylation,not tolerated,not tolerated,NO SPECIFIC DATA AVAILABLE,"decreased appetite, nausea, vomiting, pruritus"
43,adsorbed tetanus vaccine,not to be used for the treatment of tetanus infection,shaking,neutralisation of tetanus immune globulin,different syringes,a minor febrile illness such as a mild upper respiratory infection,generally well tolerated
44,adrenaline,if a person begins exhibiting severe allergic reactions,stimulation of adrenergic nerves,drugs that sensitize the heart to arrhythmias,drugs,hypertension,local anaesthetics
45,dasamularista,spermatorrhoea,constructive action on uterus,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,no reported,no side effect or adverse effect
46,curcuminoids [curcuma longa],rheumatoid arthritis,it inhibits the formation of prostaglandin,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,gallstones,occasionally gastrointestinal disturbance may occur with overdose
47,curcuma longa [turmeric extract],dyspeptic disorders,antiproliferative mechanism,risk of bleeding,antiplatelet,patients with hyperacidity or gastrointestinal ulcers,usually does not cause significant side effects
48,cranberry [vaccinium macrocarpon],urinary tract infection,cranberry inhibits adherence of bacteria,interactions with antibiotics or other drugs,omeprazole,uric acid or calcium oxalate stones,occasionally diarrhea or mild gastrointestinal upset
49,compound asparagus,"sexual weakness, oligospermia",antioxidant activity,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,no reported,no side effect or adverse effect
50,collagen ii & gags,amp; gags helps to maintain stronger bones,can prevent and helps to repair the degeneration,drug interaction,drug,NO SPECIFIC DATA AVAILABLE>,no adverse effects
51,coenzyme q10 [ubidecarenone],mitochondrial disorders,antioxidant activity,antihypertensive drugs,warfarin,patients who have hypersensitivity to the active substance,"stomach upset, loss of appetite, nausea, vomiting, and diarrhea"
52,chirata [swertia chirata],long term uses of chiratacapsule destroy intestinal worms,NO SPECIFIC DATA AVAILABLE,there has no information for chirata interactions,no information for chirata interactions,pregnancy &amp; lactation,no significant side effects have been observed in proper dosage
53,chebulic myrobalan + barberry,constipation flatulence,natural ingredients,<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,no known contraindication,no significant side effect has been observed in proper dosage
54,carica papaya leaf extract,-,gt,"- () , , , , , , , , , ,",-,bph,","
55,camphor + thymol + menthol + eucalyptus oil,"headache, toothache and burns",antiseptic,drug interactions,drug,contraindication,no significant side effect has been observed in proper dosage
56,calendula officinalis [marigold],topical application,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,no absolute contraindication,not yet known
57,buzuri,hepatitis jaundice,"prebiotic, antioxidant",NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper dosage
58,brahmi rasayan,memory deficiency impaired speech rough &amp,potent nerve tonic,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,not reported,no side effect or adverse effect
59,black cohosh [cimicifuga racemosa],"premenstrual discomfort, dysmenorrhea",alternative to hormonal therapy,birth control pills,birth control pills,no significant contraindication is observed,"stomach upset, cramping, headache"
60,amino acid + calcium,protein,decreasing the formation of urea by re-using the amino group,disturbed absorption of the active substances,disturbed absorption of the active substances,hypercalcaemia,calcium
61,amino acid,when oral or enteral nutrition is impossible or insufficient or contraindicated,NO SPECIFIC DATA AVAILABLE,mixed with other drugs,drugs,pregnancy and lactation,amino acid imbalances and severe metabolic disorders
62,amikacin,bacterial septicemia,in vitro,the combination with other aminoglycoside antibiotics,aminoglycoside antibiotics,patients with a known history of hypersensitivity to amikacin,"skin rash, drug fever, headache, paraesthesia, nausea and vomiting"
63,ambroxol hydrochloride,productive cough,hydrating,antitussives,antitussives,hypersensitivity,allergic responses
64,ambrisentan,pulmonary arterial hypertension,predominantly by non-renal pathways,limit the dose of ambrisentan to 5 mg once daily,cyclosporine,patients with idiopathic pulmonary fibrosis,decreases in hemoglobin concentration and hematocrit
65,amantadine hydrochloride,parkinsonism,not clearly understood,close observation,alcohol,patients with known hypersensitivity to the active substances,mild
66,alverine citrate,irritable bowel syndrome,"directly on the muscle in the gut, causing it to relax",drug interactions,drug interactions reported with this medicine,paralytic ileus or known hypersensitivity,"nausea, headache, dizziness, itching, rash and allergic reactions"
67,aluminium oxide + magnesium trisilicate,aluminium oxide &amp; magnesium trisilicate,aluminum hydroxide neutralizes stomach hydrocloride,none well documented,none well documented,hypophosphataemia,"diarrhoea, constipation, nausea, vomiting"
68,aluminium hydroxide + magnesium hydroxide + simethicone,antiflatulent,neutralizing gastric acid secreted from parietal cells of the stomach,decrease the bioavailability,oral drugs,alkalosis and hypermagnesaemia,gastrointestinal side effects are uncommon
69,aluminium hydroxide + magnesium hydroxide,aluminium hydroxide,magnesium hydroxide possesses a slow but sustained acid neutralizing property,drugs,hydroxychloroquine and phenothiazines,alkalosis and hypermagnesaemia,calcium phosphate
70,aluminium chloride hexahydrate,"hands, feet and scalp",relieve hyperhidrosis,drug interactions,drug interactions for aluminium chloride hexahydrate topical solution,patients with known hypersensitivity to any of its components,mild and short-lasting
71,aluminium chloride + melaleuca alternifolia oil + geothermal water,hyperhidrosis,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindicated,NO SPECIFIC DATA AVAILABLE
72,alteplase,pulmonary embolism,serine protease,bleeding,anticoagulants and antiplatelet drugs,acute myocardial infarction or pulmonary embolism,bleeding orolingual angioedema cholesterol embolization
73,alprazolam,with or without agoraphobia,benzodiazepines,alcohol and oral ontraceptives,oral,NO SPECIFIC DATA AVAILABLE,usually disappear upon continued medication
74,alphanate,withvon willebrand disease,temporarily increases the plasma level of fviii,none known,none known,patients who have manifested life-threatening immediate hypersensitivity reactions,"respiratory distress, pruritus, rash, urticaria"
75,ginkgo biloba,sexual dysfunction associated with ssri use,ginkgo inhibits binding of platelet-activating factor,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,bleeding disorders,no side effects following proper administration of designated therapeutic dosages
76,garlitab,in- diabetes rheumatoid arthritis gout respiratory tract infection,prebiotic,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper dosage
77,garlic oil,"hyperlipidemia, atherosclerosis, mild hypertension",enhances palmitate-induced inhibition of cholesterol biosynthesis,antiplatelet agents and anticoagulants,warfarin,patients with a known allergy to garlic and those taking warfarin,rare
78,flaxseed oil [linum usitatissimum],"hyperlipidemia, constipation",facilitates passage of feces through bowel through lubrication by oil.,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,blood thinning medication,adverse effects are rare at recommended dosages
79,"fishar [snake root, potassium, magnesium]",hypertension,tranquilizer and anti-psychotic,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,there is no known contraindication,no significant side effect has been reported in therapeutic dosage
80,fermented soy [lactobacillus delbrueckii],occasional heartburn gastric and duodenal ulcers,inhibit the action of the protease enzymes on stomach lining,depression,depression,known hypersensitivity to any of its active ingredients,well tolerated
81,"fennel [mouri, gohkshura, kasni]",jaundice,anti-microbial,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect
