generic_name,use_cases,mechanism_of_action,drug_interactions,food_interactions,contraindications,side_effects
adalimumab,not been established,blocks its interaction with the p55 and p75 cell surface tnf receptors,live vaccines,live vaccines,patients with known hypersensitivity toadalimumab,injection site reactions
acyclovir + hydrocortisone,amp,iNO SPECIFIC DATA AVAILABLEctivation of the viral dNO SPECIFIC DATA AVAILABLE polymerase,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,inflammation
acyclovir (topical),immunocompetent adults and adolescents 12 years of age and older,antiviral,systemic drug interactions,systemic,patients with known hypersensitivity,"dry lips, desquamation, dryness of skin"
acyclovir (oral),immunocompromised patients,absorbed from gl tract,probenecid reduces aciclovir excretion,probenecid,patients known to be hypersensitive to aciclovir,"headache, neurological reaction, fatigue."
acyclovir (ophthalmic),herpes simplex keratitis,antiviral agent,clinically significant interactions,clinically significant interactions have been identified.,patients known to be hypersensitive,healed without apparent sequelae
acyclovir (injection),immunocompromised patients,intracellular conversion,uriNO SPECIFIC DATA AVAILABLEry excretion and reNO SPECIFIC DATA AVAILABLEl clearance correspondingly reduced,uriNO SPECIFIC DATA AVAILABLEry excretion and reNO SPECIFIC DATA AVAILABLEl clearance correspondingly reduced,patients known to be hypersensitive,local inflammatory reactions may occur if acyclovir iv
activated charcoal,"poisoning due to foods, heavy meals &amp",binds the poison and prevents its absorption by the gastrointestiNO SPECIFIC DATA AVAILABLEl tract,ultracarbon,ultracarbon,intoxication,the stools turn black
aclidinium bromide + formoterol fumarate,mainteNO SPECIFIC DATA AVAILABLEnce treatment of patients with chronic obstructive pulmoNO SPECIFIC DATA AVAILABLEry disease,formoterol fumarate,avoid administrations of this combiNO SPECIFIC DATA AVAILABLEtion with other anticholinergic-containing drugs,drugs,patients with asthma,headache
acitretin,severe extensive psoriasis,unknown,"methotrexate, tetracyclines or vitamin a","methotrexate, tetracyclines or vitamin a",patients with rare glucose-galactosemalabsorption,dose-related and are usually well-tolerated at the recommended dosages
