generic_name,use_cases,mechanism_of_action,drug_interactions,food_interactions,contraindications,side_effects
adalimumab,not been established,blocks its interaction with the p55 and p75 cell surface tnf receptors,live vaccines,live vaccines,patients with known hypersensitivity toadalimumab,injection site reactions
acyclovir + hydrocortisone,no answer,no answer,no answer,no answer,no answer,no answer
acyclovir (topical),immunocompetent adults and adolescents 12 years of age and older,antiviral,systemic drug interactions,systemic,patients with known hypersensitivity,"dry lips, desquamation, dryness of skin"
acyclovir (oral),immunocompromised patients,absorbed from gl tract,probenecid reduces aciclovir excretion,probenecid,patients known to be hypersensitive to aciclovir,"headache, neurological reaction, fatigue."
acyclovir (ophthalmic),herpes simplex keratitis,antiviral agent,clinically significant interactions,clinically significant interactions have been identified.,patients known to be hypersensitive,healed without apparent sequelae
acyclovir (injection),immunocompromised patients,intracellular conversion,urinary excretion and renal clearance correspondingly reduced,urinary excretion and renal clearance correspondingly reduced,patients known to be hypersensitive,local inflammatory reactions may occur if acyclovir iv
activated charcoal,"poisoning due to foods, heavy meals &amp",binds the poison and prevents its absorption by the gastrointestinal tract,ultracarbon,ultracarbon,intoxication,the stools turn black
aclidinium bromide + formoterol fumarate,maintenance treatment of patients with chronic obstructive pulmonary disease,formoterol fumarate,avoid administrations of this combination with other anticholinergic-containing drugs,drugs,patients with asthma,headache
acitretin,severe extensive psoriasis,unknown,"methotrexate, tetracyclines or vitamin a","methotrexate, tetracyclines or vitamin a",patients with rare glucose-galactosemalabsorption,dose-related and are usually well-tolerated at the recommended dosages
acidic component [hco3 hemodialysis solution],haemodialysis,sodium chloride,drug interactions,drug,known hypersensitivity,electrolyte imbalance
acetylcysteine,certain clinical condition,anti-oxidant action,inhibitory effect of thrombocyte aggregation,amoxicillin will increase the level of the antibiotic in tissues,patients suffering from phenylketonuria,not everybody gets them
acetazolamide,no answer,no answer,no answer,no answer,no answer,no answer
acetate formulation [hemodialysis solution],haemodialysis,treatment of hyperosmolar diabetes,drug interactions,drug,known hypersensitivity,fluid and electrolyte imbalance
