group,indication,Score,drug_class
Medication,hydrocortisone,0.92296624,hydrocortisone & combined preparations
Therapeutic_procedure,combined preparations,0.71817887,hydrocortisone & combined preparations
Administration,topical,0.93662393,topical antiviral preparations
Therapeutic_procedure,anti,0.49922165,topical antiviral preparations
Therapeutic_procedure,preparations,0.5808506,topical antiviral preparations
Disease_disorder,herpes,0.77169335,herpes simplex & varicella-zoster virus infections
Disease_disorder,simplex,0.5988854,herpes simplex & varicella-zoster virus infections
Disease_disorder,infections,0.99973863,herpes simplex & varicella-zoster virus infections
Diagnostic_procedure,ophthalmic anti - viral products,0.9906392,ophthalmic anti-viral products
Therapeutic_procedure,antidote preparations,0.8836351,antidote preparations
Detailed_description,combined,0.93485177,combined bronchodilators
Therapeutic_procedure,bronchodilators,0.93598926,combined bronchodilators
Diagnostic_procedure,oral retinoid preparations,0.9383651,oral retinoid preparations
Therapeutic_procedure,haemodialysis solutions,0.99399763,haemodialysis solutions
Medication,carbonic,0.579399,carbonic anhydrase inhibitor
Medication,steroidal anti - inflammatory drugs,0.983231,non-steroidal anti-inflammatory drugs (nsaids)
Medication,nsaids,0.83558786,non-steroidal anti-inflammatory drugs (nsaids)
Medication,drugs,0.97521734,drugs for osteoarthritis
Disease_disorder,osteoarthritis,0.9525166,drugs for osteoarthritis
Medication,herbal,0.5304499,herbal and nutraceuticals
Medication,drugs,0.7210219,drugs used in gout
History,gout,0.6896461,drugs used in gout
Sign_symptom,retention,0.99770254,bph/ urinary retention/ urinary incontinence
Detailed_description,urinary,0.8876981,bph/ urinary retention/ urinary incontinence
Sign_symptom,incontinence,0.82377565,bph/ urinary retention/ urinary incontinence
Diagnostic_procedure,vitamin in bone formation,0.999136,vitamin in bone formation
Biological_structure,bone,0.9946467,combined preparations: inhibiting bone resorption
Diagnostic_procedure,bisphosphonate preparations,0.9983842,bisphosphonate preparations
Diagnostic_procedure,protein kinase inhibitor,0.99780685,protein kinase inhibitor
Therapeutic_procedure,plasma expanders,0.97195196,plasma expanders
Medication,anti - depressant drugs,0.9944534,atypical anti-depressant drugs
Medication,chemotherapy,0.9987558,cytotoxic chemotherapy
Diagnostic_procedure,tyrosine kinase inhibitor,0.974566,tyrosine kinase inhibitor
Diagnostic_procedure,vaccines,0.95538664,"vaccines, anti-sera & immunoglobulin"
Diagnostic_procedure,anti - sera,0.9829714,"vaccines, anti-sera & immunoglobulin"
Therapeutic_procedure,supplements,0.9513062,supplements & adjuvant therapy
Therapeutic_procedure,therapy,0.56243646,supplements & adjuvant therapy
Detailed_description,chronic,0.9996749,drugs used in chronic kidney dialysis
Biological_structure,kidney,0.99616665,drugs used in chronic kidney dialysis
Therapeutic_procedure,dialysis,0.9808678,drugs used in chronic kidney dialysis
Detailed_description,parent,0.7965905,parenteral nutritional preparations
Diagnostic_procedure,nutritional,0.84982705,parenteral nutritional preparations
Therapeutic_procedure,preparations,0.59250087,parenteral nutritional preparations
Diagnostic_procedure,aminoglycosides,0.9996394,aminoglycosides
Sign_symptom,cough,0.6656617,cough expectorants & mucolytics
Diagnostic_procedure,expect,0.67895246,cough expectorants & mucolytics
Diagnostic_procedure,mucolytics,0.98203444,cough expectorants & mucolytics
Sign_symptom,anti,0.99133885,anti-hypertensive
Sign_symptom,hyper,0.54899156,anti-hypertensive
Detailed_description,respiratory,0.8215539,respiratory viral infections (influenza)
Disease_disorder,viral,0.97077113,respiratory viral infections (influenza)
Disease_disorder,infections,0.7557543,respiratory viral infections (influenza)
Disease_disorder,influenza,0.9877175,respiratory viral infections (influenza)
Diagnostic_procedure,anticholinergics,0.98343486,anticholinergics
Medication,topical agents,0.98531497,miscellaneous topical agents
Medication,benzodiazepine sedatives,0.9844994,benzodiazepine sedatives
Diagnostic_procedure,other preparations,0.72849643,other preparations
Administration,topical,0.9897344,topical antifungal preparations
Therapeutic_procedure,antifungal preparations,0.8590313,topical antifungal preparations
Detailed_description,combined,0.97804147,combined antihypertensive preparations
Medication,antihypertensive preparations,0.9267351,combined antihypertensive preparations
Medication,anti,0.5316817,anti-anginal & lipid lowering drugs
Diagnostic_procedure,anginal,0.71700346,anti-anginal & lipid lowering drugs
Therapeutic_procedure,lowering,0.71387535,anti-anginal & lipid lowering drugs
Medication,drugs,0.9075105,anti-anginal & lipid lowering drugs
Medication,calcium - channel blockers,0.9982969,calcium-channel blockers
Detailed_description,combined,0.9958353,combined anxiolytics & anti-depressant drugs
Medication,anti - depressant drugs,0.99026006,combined anxiolytics & anti-depressant drugs
Disease_disorder,drugs,0.5259655,atypical neuroleptic drugs
Medication,potassium channel blockers,0.9987442,potassium channel blockers
Therapeutic_procedure,bronchodilator,0.9032737,bronchodilator
Detailed_description,bulk - forming,0.9998377,bulk-forming laxatives
Medication,anti - malarial drugs,0.9264658,anti-malarial drugs
Medication,stimulant drugs,0.79246646,cns stimulant drugs
Medication,anti - emetic drugs,0.75856173,anti-emetic drugs
Detailed_description,disease,0.5905774,disease-modifying antirheumatic drugs (dmards)
Detailed_description,modifying,0.9061409,disease-modifying antirheumatic drugs (dmards)
Medication,antirheumatic drugs,0.9946097,disease-modifying antirheumatic drugs (dmards)
Therapeutic_procedure,anti,0.59501195,anti-oxidant multivitamin multimineral preparations
Diagnostic_procedure,#NAME?,0.7486811,anti-oxidant multivitamin multimineral preparations
Diagnostic_procedure,multivitamin multimineral preparations,0.77332026,anti-oxidant multivitamin multimineral preparations
Diagnostic_procedure,anti,0.99891305,antihaemophilic factor
Therapeutic_procedure,preparations,0.6681051,other ophthalmic preparations
Administration,topical,0.99752384,topical analgesics
Therapeutic_procedure,analgesics,0.65408516,topical analgesics
Diagnostic_procedure,mineral preparations,0.9859219,specific mineral preparations
Diagnostic_procedure,anti - histamine preparations,0.99953747,anti-histamine preparations
